stimulusType;stimulusValue;keyCode;response
UpLeft;Picture1.png;ArrowUp;Left
UpLeft;Picture2.png;ArrowDown;Right
DownLeft;Picture3.png;ArrowUp;Right
UpLeft;Picture4.png;ArrowUp;Left
UpLeft;Picture5.png;ArrowUp;Left
UpLeft;Picture6.png;ArrowUp;Left
DownLeft;Picture7.png;ArrowDown;Left
DownLeft;Picture8.png;ArrowUp;Right
UpLeft;Picture9.png;ArrowUp;Left
DownLeft;Picture10.png;ArrowUp;Right
DownLeft;Picture11.png;ArrowUp;Right
DownLeft;Picture12.png;ArrowUp;Right
UpLeft;Picture13.png;ArrowUp;Left
DownLeft;Picture14.png;ArrowUp;Right
DownLeft;Picture15.png;ArrowUp;Right
UpLeft;Picture16.png;ArrowUp;Left
UpLeft;Picture17.png;ArrowUp;Left
UpLeft;Picture18.png;ArrowUp;Left
DownLeft;Picture19.png;ArrowUp;Right
UpLeft;Picture20.png;ArrowUp;Left
DownLeft;Picture21.png;ArrowUp;Right
DownLeft;Picture22.png;ArrowUp;Right
DownLeft;Picture23.png;ArrowUp;Right
UpLeft;Picture24.png;ArrowUp;Left
