stimulusType;stimulusValue;stimulusValueType;correctResponse
congruent;-2;text;left
congruent;-1;text;left
congruent;1;text;right
congruent;2;text;right
congruent;-2;text;left
congruent;-1;text;left
congruent;1;text;right
congruent;2;text;right
congruent;-2;text;left
congruent;-1;text;left
congruent;1;text;right
congruent;2;text;right
congruent;-2;text;left
congruent;-1;text;left
congruent;1;text;right
congruent;2;text;right
congruent;-2;text;left
congruent;-1;text;left
congruent;1;text;right
congruent;2;text;right
congruent;-2;text;left
congruent;-1;text;left
congruent;1;text;right
congruent;2;text;right
congruent;-2;text;left
congruent;-1;text;left
congruent;1;text;right
congruent;2;text;right
congruent;-2;text;left
congruent;-1;text;left
congruent;1;text;right
congruent;2;text;right
