stimulusType;stimulusValue;correctResponse;keyLabel;keyLabelType
LtoR;-2;left;Past;text
LtoR;-1;left;Past;text
LtoR;1;right;Future;text
LtoR;2;right;Future;text
LtoR;-2;left;Past;text
LtoR;-1;left;Past;text
LtoR;1;right;Future;text
LtoR;2;right;Future;text
LtoR;-2;left;Past;text
LtoR;-1;left;Past;text
LtoR;1;right;Future;text
LtoR;2;right;Future;text
LtoR;-2;left;Past;text
LtoR;-1;left;Past;text
LtoR;1;right;Future;text
LtoR;2;right;Future;text
LtoR;-2;left;Past;text
LtoR;-1;left;Past;text
LtoR;1;right;Future;text
LtoR;2;right;Future;text
LtoR;-2;left;Past;text
LtoR;-1;left;Past;text
LtoR;1;right;Future;text
LtoR;2;right;Future;text
LtoR;-2;left;Past;text
LtoR;-1;left;Past;text
LtoR;1;right;Future;text
LtoR;2;right;Future;text
LtoR;-2;left;Past;text
LtoR;-1;left;Past;text
LtoR;1;right;Future;text
LtoR;2;right;Future;text
