stimulusType;stimulusValue;correctResponse;keyLabel;keyLabelType
RtoL;-2;right;Past;text
RtoL;-1;right;Past;text
RtoL;1;left;Future;text
RtoL;2;left;Future;text
RtoL;-2;right;Past;text
RtoL;-1;right;Past;text
RtoL;1;left;Future;text
RtoL;2;left;Future;text
RtoL;-2;right;Past;text
RtoL;-1;right;Past;text
RtoL;1;left;Future;text
RtoL;2;left;Future;text
RtoL;-2;right;Past;text
RtoL;-1;right;Past;text
RtoL;1;left;Future;text
RtoL;2;left;Future;text
RtoL;-2;right;Past;text
RtoL;-1;right;Past;text
RtoL;1;left;Future;text
RtoL;2;left;Future;text
RtoL;-2;right;Past;text
RtoL;-1;right;Past;text
RtoL;1;left;Future;text
RtoL;2;left;Future;text
RtoL;-2;right;Past;text
RtoL;-1;right;Past;text
RtoL;1;left;Future;text
RtoL;2;left;Future;text
RtoL;-2;right;Past;text
RtoL;-1;right;Past;text
RtoL;1;left;Future;text
RtoL;2;left;Future;text
