stimulusType;stimulusValue;stimulusValueType;correctResponse
congruent;congruent-right.png;image;congruent
incongruent;incongruent-right.png;image;incongruent
neutral;neutral-left.png;image;neutral
incongruent;incongruent-right.png;image;incongruent
congruent;congruent-right.png;image;congruent
incongruent;incongruent-left.png;image;incongruent
neutral;neutral-right.png;image;neutral
neutral;neutral-left.png;image;neutral
incongruent;incongruent-left.png;image;incongruent
neutral;neutral-left.png;image;neutral
congruent;congruent-right.png;image;congruent
incongruent;incongruent-right.png;image;incongruent
neutral;neutral-right.png;image;neutral
congruent;congruent-left.png;image;congruent
incongruent;incongruent-left.png;image;incongruent
congruent;congruent-left.png;image;congruent
neutral;neutral-right.png;image;neutral
neutral;neutral-left.png;image;neutral
congruent;congruent-left.png;image;congruent
congruent;congruent-left.png;image;congruent
neutral;neutral-right.png;image;neutral
congruent;congruent-right.png;image;congruent
neutral;neutral-right.png;image;neutral
incongruent;incongruent-right.png;image;incongruent
neutral;neutral-left.png;image;neutral
congruent;congruent-left.png;image;congruent
incongruent;incongruent-right.png;image;incongruent
incongruent;incongruent-left.png;image;incongruent
congruent;congruent-right.png;image;congruent
incongruent;incongruent-left.png;image;incongruent
