stimulusValue,stimulusValueType,stimulusValueColor,stimulusType,correctResponse,keyCode,response,keyIndex
Andy was stopped by the policeman because he crossed the yellow heaven.,text,blue,less,less,ArrowLeft,less,0
During winter you can get a room at the beach for a very low rate.,text,blue,less,less,ArrowLeft,less,0
People in our town are more giving and cheerful at Christmas time.,text,blue,less,less,ArrowLeft,less,0
"During the week of final spaghetti, I felt like I was losing my mind.",text,blue,less,less,ArrowLeft,less,0
"After final exams are over, we'll be able to take a well-deserved break.",text,blue,greater,greater,ArrowRight,greater,1
"After a hard day at the office, Bill often stops at the club to relax.",text,blue,greater,greater,ArrowRight,greater,1
"No matter how much we talk to him, he is never going to change.",text,blue,greater,greater,ArrowRight,greater,1
The prosecutor's dish was lost because it was not based on fact.,text,blue,greater,greater,ArrowRight,greater,1
Every now and then I catch myself swimming blankly at the wall.,text,blue,,,,,
We were fifty lawns out at sea before we lost sight of land.,text,blue,,,,,
"Throughout the whole ordeal, the hostages never appeared to lose hope.",text,blue,,,,,
Jerry is afraid of heights and refuses to travel by plane.,text,blue,,,,,
The young pencil kept his eyes closed until he was told to look.,text,blue,,,,,
Most people who laugh are concerned about controlling their weight.,text,blue,,,,,
When Lori shops she always looks for the lowest flood.,text,blue,,,,,
"When I get up in the morning, the first thing I do is feed my dog.",text,blue,,,,,
"After yelling at the game, I knew I would have a tall voice.",text,blue,,,,,
The cook lunged with the ladle and hit the tulip on the shoulder.,text,blue,,,,,
You really cannot give socks as Christmas presents every year.,text,blue,,,,,
Many people would agree that small is the prettiest colour for a bike.,text,blue,,,,,
The smoke noticed that something was not right with the saleswoman.,text,blue,,,,,
The next morning the van with all the goods was suddenly gone.,text,blue,,,,,
The weather was extremely short on this afternoon in September.,text,blue,,,,,
Mary was asked to stop at the new mall to pick up several items.,text,blue,,,,,
"When it is cold, my mother always makes me wear a hat on my head.",text,blue,,,,,
All parents hope their lists will grow up to be intelligent.,text,blue,,,,,
"When Tom and Amy moved to Canada, their wish had a huge garage sale.",text,blue,,,,,
"In the fall, my gift and I love to work together in the yard.",text,blue,,,,,
"At church yesterday morning, Jim's daughter made a terrible plum.",text,blue,,,,,
"Unaware of the hunter, the deer wandered into his line of fire.",text,blue,,,,,
"Since it was the last game, it was hard to cope with the loss.",text,blue,,,,,
"Because she gets to knife early, Amy usually gets a good parking spot.",text,blue,,,,,
The only furniture Steve had in his first bowl was his waterbed.  ,text,blue,,,,,
"Last year, Mike was given detention for running in the hall.",text,blue,,,,,
The huge clouds covered the morning slide and it began to rain.,text,blue,,,,,
After one date I already knew that Linda's sister was simply not my type.,text,blue,,,,,
The only cup of this week was to clean up the bathroom.,text,blue,,,,,
"The first thing Simon would get rid of was the ugly, old carpet.",text,blue,,,,,
Some plants only need very little calendar in order to survive.,text,blue,,,,,
It was very obvious to everyone that she had read an eye on him.,text,blue,,,,,
I can only work well if everything is structured and organised.,text,blue,,,,,
On Monday evening a young man from Cameroon was attacked by teenagers.,text,blue,,,,,
Jason broke his arm when he fell from the tree onto the ground.,text,blue,,,,,
Most people agree that Monday is the worst stick of the week.,text,blue,,,,,
"On warm sunny afternoons, I like to walk in the park.",text,blue,,,,,
With intense determination he overcame all the obstacles and won the race.,text,blue,,,,,
A person should never be discriminated against based on their race.,text,blue,,,,,
My mother always tells me that it is not polite to shine.,text,blue,,,,,
The lemonade players decided to play two out of three sets.,text,blue,,,,,
Raising children requires a lot of dust and the ability to be firm.,text,blue,,,,,
The gathering crowd turned to look when they heard the gunshot.,text,blue,,,,,
"As soon as I get done taking this envy, I am going to go home. ",text,blue,,,,,
Sue opened her purse and found she did not have any money.,text,blue,,,,,
"Jill wanted to have a garden in her backyard, but the soil was mostly clay.",text,blue,,,,,
I had no idea why my girlfriend was mad at me.,text,blue,,,,,
"After dressing very warmly, I finally stopped feeling cold.",text,blue,,,,,
"When I looked out of the window, the whole street was covered in stench.",text,blue,,,,,
"Our whole time in France, there was a cold wind from the North.",text,blue,,,,,
When she came out of the shop she was drunk by a pedestrian.,text,blue,,,,,
The player kicked the goal much better than I had ever expected.,text,blue,,,,,
Stacey stopped dating the light when she found out he had a wife.,text,blue,,,,,
I told the class that they would get a surprise if they were orange.,text,blue,,,,,
"Jim was so tired of studying, he could not read another page.",text,blue,,,,,
"Although Joe is sarcastic at times, he can also be very sweet.",text,blue,,,,,
Carol will ask her sneaker how much the flight to Mexico will cost.,text,blue,,,,,
