stimulusCount;stimulusValue1;stimulusValueType1;correctResponse1;stimulusValue2;stimulusValueType2;correctResponse2;stimulusValue3;stimulusValueType3;correctResponse3;stimulusValue4;stimulusValueType4;correctResponse4;stimulusValue5;stimulusValueType5;correctResponse5
3;20;text;20;54;text;54;18;text;18;;;;;;
3;84;text;84;63;text;63;25;text;25;;;;;;
3;58;text;58;60;text;60;84;text;84;;;;;;
3;66;text;66;25;text;25;12;text;12;;;;;;
3;37;text;37;76;text;76;32;text;32;;;;;;
4;72;text;72;26;text;26;87;text;87;94;text;94;;;
4;95;text;95;13;text;13;85;text;85;72;text;72;;;
4;99;text;99;41;text;41;70;text;70;73;text;73;;;
5;18;text;18;10;text;10;29;text;29;30;text;30;62;text;62
5;64;text;64;33;text;33;54;text;54;98;text;98;32;text;32
5;15;text;15;11;text;11;89;text;89;36;text;36;52;text;52
