stimulusType,stimulusValue,stimulusValueType,correctResponse,keyCode,keyLabel,keyLabelType,response,keyIndex
congruent4,digits_congruent_2a.png,image,even,ArrowRight,parity-even-right.png,image,even,1
congruent4,digits_congruent_2b.png,image,even,ArrowRight,parity-even-right.png,image,even,1
congruent4,digits_congruent_4a.png,image,even,ArrowRight,parity-even-right.png,image,even,1
congruent4,digits_congruent_4b.png,image,even,ArrowRight,parity-even-right.png,image,even,1
congruent4,digits_congruent_3a.png,image,odd,ArrowLeft,parity-odd-left.png,image,odd,0
congruent4,digits_congruent_3b.png,image,odd,ArrowLeft,parity-odd-left.png,image,odd,0
congruent4,digits_congruent_5a.png,image,odd,ArrowLeft,parity-odd-left.png,image,odd,0
congruent4,digits_congruent_5b.png,image,odd,ArrowLeft,parity-odd-left.png,image,odd,0
incongruent4,digits_incongruent_2a.png,image,even,ArrowRight,parity-even-right.png,image,even,1
incongruent4,digits_incongruent_2b.png,image,even,ArrowRight,parity-even-right.png,image,even,1
incongruent4,digits_incongruent_4a.png,image,even,ArrowRight,parity-even-right.png,image,even,1
incongruent4,digits_incongruent_4b.png,image,even,ArrowRight,parity-even-right.png,image,even,1
incongruent4,digits_incongruent_3a.png,image,odd,ArrowLeft,parity-odd-left.png,image,odd,0
incongruent4,digits_incongruent_3b.png,image,odd,ArrowLeft,parity-odd-left.png,image,odd,0
incongruent4,digits_incongruent_5a.png,image,odd,ArrowLeft,parity-odd-left.png,image,odd,0
incongruent4,digits_incongruent_5b.png,image,odd,ArrowLeft,parity-odd-left.png,image,odd,0
neutral4,digits_neutral_2a.png,image,even,ArrowRight,parity-even-right.png,image,even,1
neutral4,digits_neutral_2b.png,image,even,ArrowRight,parity-even-right.png,image,even,1
neutral4,digits_neutral_4a.png,image,even,ArrowRight,parity-even-right.png,image,even,1
neutral4,digits_neutral_4b.png,image,even,ArrowRight,parity-even-right.png,image,even,1
neutral4,digits_neutral_3a.png,image,odd,ArrowLeft,parity-odd-left.png,image,odd,0
neutral4,digits_neutral_3b.png,image,odd,ArrowLeft,parity-odd-left.png,image,odd,0
neutral4,digits_neutral_5a.png,image,odd,ArrowLeft,parity-odd-left.png,image,odd,0
neutral4,digits_neutral_5b.png,image,odd,ArrowLeft,parity-odd-left.png,image,odd,0
congruent2,digits_congruent_2a_small.png,image,even,ArrowRight,parity-even-right.png,image,even,1
congruent2,digits_congruent_2b_small.png,image,even,ArrowRight,parity-even-right.png,image,even,1
congruent2,digits_congruent_4a_small.png,image,even,ArrowRight,parity-even-right.png,image,even,1
congruent2,digits_congruent_4b_small.png,image,even,ArrowRight,parity-even-right.png,image,even,1
congruent2,digits_congruent_3a_small.png,image,odd,ArrowLeft,parity-odd-left.png,image,odd,0
congruent2,digits_congruent_3b_small.png,image,odd,ArrowLeft,parity-odd-left.png,image,odd,0
congruent2,digits_congruent_5a_small.png,image,odd,ArrowLeft,parity-odd-left.png,image,odd,0
congruent2,digits_congruent_5b_small.png,image,odd,ArrowLeft,parity-odd-left.png,image,odd,0
incongruent2,digits_incongruent_2a_small.png,image,even,ArrowRight,parity-even-right.png,image,even,1
incongruent2,digits_incongruent_2b_small.png,image,even,ArrowRight,parity-even-right.png,image,even,1
incongruent2,digits_incongruent_4a_small.png,image,even,ArrowRight,parity-even-right.png,image,even,1
incongruent2,digits_incongruent_4b_small.png,image,even,ArrowRight,parity-even-right.png,image,even,1
incongruent2,digits_incongruent_3a_small.png,image,odd,ArrowLeft,parity-odd-left.png,image,odd,0
incongruent2,digits_incongruent_3b_small.png,image,odd,ArrowLeft,parity-odd-left.png,image,odd,0
incongruent2,digits_incongruent_5a_small.png,image,odd,ArrowLeft,parity-odd-left.png,image,odd,0
incongruent2,digits_incongruent_5b_small.png,image,odd,ArrowLeft,parity-odd-left.png,image,odd,0
neutral2,digits_neutral_2a_small.png,image,even,ArrowRight,parity-even-right.png,image,even,1
neutral2,digits_neutral_2b_small.png,image,even,ArrowRight,parity-even-right.png,image,even,1
neutral2,digits_neutral_4a_small.png,image,even,ArrowRight,parity-even-right.png,image,even,1
neutral2,digits_neutral_4b_small.png,image,even,ArrowRight,parity-even-right.png,image,even,1
neutral2,digits_neutral_3a_small.png,image,odd,ArrowLeft,parity-odd-left.png,image,odd,0
neutral2,digits_neutral_3b_small.png,image,odd,ArrowLeft,parity-odd-left.png,image,odd,0
neutral2,digits_neutral_5a_small.png,image,odd,ArrowLeft,parity-odd-left.png,image,odd,0
neutral2,digits_neutral_5b_small.png,image,odd,ArrowLeft,parity-odd-left.png,image,odd,0
