stimulusType,stimulusValue,stimulusValueType,correctResponse,keyCode,keyLabel,keyLabelType,response,keyIndex
congruent2,smiley_congruent_happy1a.png,image,happy,ArrowLeft,happy-left.png,image,happy,0
congruent2,smiley_congruent_happy1b.png,image,happy,ArrowLeft,happy-left.png,image,happy,0
congruent2,smiley_congruent_happy2a.png,image,happy,ArrowLeft,happy-left.png,image,happy,0
congruent2,smiley_congruent_happy2b.png,image,happy,ArrowLeft,happy-left.png,image,happy,0
congruent2,smiley_congruent_sad1a.png,image,sad,ArrowRight,sad-right.png,image,sad,1
congruent2,smiley_congruent_sad1b.png,image,sad,ArrowRight,sad-right.png,image,sad,1
congruent2,smiley_congruent_sad2a.png,image,sad,ArrowRight,sad-right.png,image,sad,1
congruent2,smiley_congruent_sad2b.png,image,sad,ArrowRight,sad-right.png,image,sad,1
incongruent2,smiley_incongruent_happy1a.png,image,happy,ArrowLeft,happy-left.png,image,happy,0
incongruent2,smiley_incongruent_happy1b.png,image,happy,ArrowLeft,happy-left.png,image,happy,0
incongruent2,smiley_incongruent_happy2a.png,image,happy,ArrowLeft,happy-left.png,image,happy,0
incongruent2,smiley_incongruent_happy2b.png,image,happy,ArrowLeft,happy-left.png,image,happy,0
incongruent2,smiley_incongruent_sad1a.png,image,sad,ArrowRight,sad-right.png,image,sad,1
incongruent2,smiley_incongruent_sad1b.png,image,sad,ArrowRight,sad-right.png,image,sad,1
incongruent2,smiley_incongruent_sad2a.png,image,sad,ArrowRight,sad-right.png,image,sad,1
incongruent2,smiley_incongruent_sad2b.png,image,sad,ArrowRight,sad-right.png,image,sad,1
neutral2,smiley_neutral_happy1a.png,image,happy,ArrowLeft,happy-left.png,image,happy,0
neutral2,smiley_neutral_happy1b.png,image,happy,ArrowLeft,happy-left.png,image,happy,0
neutral2,smiley_neutral_happy2a.png,image,happy,ArrowLeft,happy-left.png,image,happy,0
neutral2,smiley_neutral_happy2b.png,image,happy,ArrowLeft,happy-left.png,image,happy,0
neutral2,smiley_neutral_sad1a.png,image,sad,ArrowRight,sad-right.png,image,sad,1
neutral2,smiley_neutral_sad1b.png,image,sad,ArrowRight,sad-right.png,image,sad,1
neutral2,smiley_neutral_sad2a.png,image,sad,ArrowRight,sad-right.png,image,sad,1
neutral2,smiley_neutral_sad2b.png,image,sad,ArrowRight,sad-right.png,image,sad,1
congruent,smiley_congruent_happy1a_small.png,image,happy,ArrowLeft,happy-left.png,image,happy,0
congruent,smiley_congruent_happy1b_small.png,image,happy,ArrowLeft,happy-left.png,image,happy,0
congruent,smiley_congruent_happy2a_small.png,image,happy,ArrowLeft,happy-left.png,image,happy,0
congruent,smiley_congruent_happy2b_small.png,image,happy,ArrowLeft,happy-left.png,image,happy,0
congruent,smiley_congruent_sad1a_small.png,image,sad,ArrowRight,sad-right.png,image,sad,1
congruent,smiley_congruent_sad1b_small.png,image,sad,ArrowRight,sad-right.png,image,sad,1
congruent,smiley_congruent_sad2a_small.png,image,sad,ArrowRight,sad-right.png,image,sad,1
congruent,smiley_congruent_sad2b_small.png,image,sad,ArrowRight,sad-right.png,image,sad,1
incongruent,smiley_incongruent_happy1a_small.png,image,happy,ArrowLeft,happy-left.png,image,happy,0
incongruent,smiley_incongruent_happy1b_small.png,image,happy,ArrowLeft,happy-left.png,image,happy,0
incongruent,smiley_incongruent_happy2a_small.png,image,happy,ArrowLeft,happy-left.png,image,happy,0
incongruent,smiley_incongruent_happy2b_small.png,image,happy,ArrowLeft,happy-left.png,image,happy,0
incongruent,smiley_incongruent_sad1a_small.png,image,sad,ArrowRight,sad-right.png,image,sad,1
incongruent,smiley_incongruent_sad1b_small.png,image,sad,ArrowRight,sad-right.png,image,sad,1
incongruent,smiley_incongruent_sad2a_small.png,image,sad,ArrowRight,sad-right.png,image,sad,1
incongruent,smiley_incongruent_sad2b_small.png,image,sad,ArrowRight,sad-right.png,image,sad,1
neutral,smiley_neutral_happy1a_small.png,image,happy,ArrowLeft,happy-left.png,image,happy,0
neutral,smiley_neutral_happy1b_small.png,image,happy,ArrowLeft,happy-left.png,image,happy,0
neutral,smiley_neutral_happy2a_small.png,image,happy,ArrowLeft,happy-left.png,image,happy,0
neutral,smiley_neutral_happy2b_small.png,image,happy,ArrowLeft,happy-left.png,image,happy,0
neutral,smiley_neutral_sad1a_small.png,image,sad,ArrowRight,sad-right.png,image,sad,1
neutral,smiley_neutral_sad1b_small.png,image,sad,ArrowRight,sad-right.png,image,sad,1
neutral,smiley_neutral_sad2a_small.png,image,sad,ArrowRight,sad-right.png,image,sad,1
neutral,smiley_neutral_sad2b_small.png,image,sad,ArrowRight,sad-right.png,image,sad,1
