stimulusValue;stimulusValueType;stimulusValueColor;stimulusType;correctResponse;keyCode;keyLabel;keyLabelType;keyIndex;response
red;text;red;congruent;red;ArrowLeft;stroop-color-left.png;image;0;red
green;text;green;congruent;green;ArrowDown;stroop-color-down.png;image;1;green
blue;text;blue;congruent;blue;ArrowRight;stroop-color-right.png;image;2;blue
red;text;green;incongruent;green;ArrowDown;stroop-color-down.png;image;1;green
blue;text;green;incongruent;green;ArrowDown;stroop-color-down.png;image;1;green
green;text;red;incongruent;red;ArrowLeft;stroop-color-left.png;image;0;red
blue;text;red;incongruent;red;ArrowLeft;stroop-color-left.png;image;0;red
green;text;blue;incongruent;blue;ArrowRight;stroop-color-right.png;image;2;blue
red;text;blue;incongruent;blue;ArrowRight;stroop-color-right.png;image;2;blue
####;text;red;neutral;red;ArrowLeft;stroop-color-left.png;image;0;red
####;text;green;neutral;green;ArrowDown;stroop-color-down.png;image;1;green
####;text;blue;neutral;blue;ArrowRight;stroop-color-right.png;image;2;blue
