stimulusCount,gridRows,gridCols,stimulusValue1,stimulusValue2,stimulusValue3,stimulusValue4,stimulusValueType1,stimulusValueType2,stimulusValueType3,stimulusValueType4,stimulusGridPosition1,stimulusGridPosition2,stimulusGridPosition3,stimulusGridPosition4,probeValue1,probeValue2,probeValue3,probeValue4,probeValueType1,probeValueType2,probeValueType3,probeValueType4,probeGridPosition1,probeGridPosition2,probeGridPosition3,probeGridPosition4,probeType1,probeType2,probeType3,probeType4,keyCount,keyCode1,keyLabel1,keyLabelType1,response1,keyCode2,keyLabel2,keyLabelType2,response2
2,1,2,rows_07.png,rows_04.png,,,image,image,,,2,1,,,rows_04.png,rows_05.png,,,image,image,,,1,2,,,match,distractor,,,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
4,1,4,rows_08.png,rows_01.png,rows_02.png,rows_03.png,image,image,image,image,2,4,1,3,rows_03.png,rows_06.png,rows_02.png,rows_08.png,image,image,image,image,3,4,1,2,match,distractor,match,match,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
3,1,3,rows_02.png,rows_07.png,rows_08.png,,image,image,image,,1,2,3,,rows_07.png,rows_08.png,rows_05.png,,image,image,image,,2,3,1,,match,match,distractor,,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
4,1,4,rows_07.png,rows_08.png,rows_01.png,rows_02.png,image,image,image,image,3,4,1,2,rows_08.png,rows_01.png,rows_02.png,rows_07.png,image,image,image,image,2,1,4,3,intrusion,match,intrusion,match,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
2,1,2,rows_05.png,rows_02.png,,,image,image,,,1,2,,,rows_05.png,rows_01.png,,,image,image,,,2,1,,,intrusion,distractor,,,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
2,1,2,rows_06.png,rows_03.png,,,image,image,,,1,2,,,rows_05.png,rows_03.png,,,image,image,,,1,2,,,distractor,match,,,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
4,1,4,rows_06.png,rows_07.png,rows_08.png,rows_01.png,image,image,image,image,2,3,4,1,rows_08.png,rows_05.png,rows_06.png,rows_07.png,image,image,image,image,4,3,2,1,match,distractor,match,intrusion,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
4,1,4,rows_05.png,rows_06.png,rows_07.png,rows_08.png,image,image,image,image,1,2,3,4,rows_07.png,rows_08.png,rows_04.png,rows_06.png,image,image,image,image,1,4,3,2,intrusion,match,distractor,match,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
2,1,2,rows_01.png,rows_06.png,,,image,image,,,2,1,,,rows_01.png,rows_06.png,,,image,image,,,2,1,,,match,match,,,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
3,1,3,rows_06.png,rows_03.png,rows_04.png,,image,image,image,,3,2,1,,rows_04.png,rows_07.png,rows_02.png,,image,image,image,,1,2,3,,match,distractor,distractor,,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
