stimulusCount,stimulusValue1,stimulusValueType1,correctResponse1,gridPosition1,stimulusValue2,stimulusValueType2,correctResponse2,gridPosition2,stimulusValue3,stimulusValueType3,correctResponse3,gridPosition3,stimulusValue4,stimulusValueType4,correctResponse4,gridPosition4,stimulusValue5,stimulusValueType5,correctResponse5,gridPosition5,stimulusValue6,stimulusValueType6,correctResponse6,gridPosition6
2,animaltext_bird.png,image,2,2,animaltext_pig.png,image,5,5,,,,,,,,,,,,,,,,
2,animaltext_cat.png,image,6,6,animaltext_horse.png,image,9,9,,,,,,,,,,,,,,,,
2,animaltext_dog.png,image,7,7,animaltext_fish.png,image,5,5,,,,,,,,,,,,,,,,
3,animaltext_cat.png,image,2,2,animaltext_pig.png,image,5,5,animaltext_fish.png,image,1,1,,,,,,,,,,,,
3,animaltext_horse.png,image,7,7,animaltext_dog.png,image,4,4,animaltext_bird.png,image,5,5,,,,,,,,,,,,
3,animaltext_fish.png,image,2,2,animaltext_horse.png,image,8,8,animaltext_cat.png,image,6,6,,,,,,,,,,,,
4,animaltext_cat.png,image,3,3,animaltext_bird.png,image,6,6,animaltext_dog.png,image,1,1,animaltext_horse.png,image,8,8,,,,,,,,
4,animaltext_dog.png,image,4,4,animaltext_cat.png,image,7,7,animaltext_pig.png,image,9,9,animaltext_fish.png,image,3,3,,,,,,,,
4,animaltext_horse.png,image,8,8,animaltext_pig.png,image,9,9,animaltext_bird.png,image,3,3,animaltext_dog.png,image,6,6,,,,,,,,
5,animaltext_bird.png,image,7,7,animaltext_cat.png,image,3,3,animaltext_dog.png,image,4,4,animaltext_pig.png,image,5,5,animaltext_horse.png,image,8,8,,,,
5,animaltext_dog.png,image,1,1,animaltext_fish.png,image,4,4,animaltext_cat.png,image,8,8,animaltext_horse.png,image,2,2,animaltext_bird.png,image,5,5,,,,
5,animaltext_cat.png,image,5,5,animaltext_bird.png,image,3,3,animaltext_horse.png,image,9,9,animaltext_fish.png,image,2,2,animaltext_pig.png,image,1,1,,,,
6,animaltext_horse.png,image,4,4,animaltext_cat.png,image,9,9,animaltext_dog.png,image,2,2,animaltext_pig.png,image,5,5,animaltext_fish.png,image,7,7,animaltext_bird.png,image,3,3
6,animaltext_fish.png,image,7,7,animaltext_bird.png,image,4,4,animaltext_cat.png,image,1,1,animaltext_horse.png,image,9,9,animaltext_pig.png,image,5,5,animaltext_dog.png,image,2,2
6,animaltext_pig.png,image,1,1,animaltext_dog.png,image,8,8,animaltext_bird.png,image,5,5,animaltext_fish.png,image,4,4,animaltext_cat.png,image,2,2,animaltext_horse.png,image,9,9
2,animalbw_bird.png,image,2,2,animalbw_pig.png,image,5,5,,,,,,,,,,,,,,,,
2,animalbw_cat.png,image,6,6,animalbw_horse.png,image,9,9,,,,,,,,,,,,,,,,
2,animalbw_fish.png,image,7,7,animalbw_bird.png,image,5,5,,,,,,,,,,,,,,,,
3,animalbw_pig.png,image,2,2,animalbw_cat.png,image,5,5,animalbw_fish.png,image,1,1,,,,,,,,,,,,
3,animalbw_dog.png,image,7,7,animalbw_horse.png,image,4,4,animalbw_bird.png,image,5,5,,,,,,,,,,,,
3,animalbw_fish.png,image,2,2,animalbw_horse.png,image,8,8,animalbw_cat.png,image,6,6,,,,,,,,,,,,
4,animalbw_cat.png,image,3,3,animalbw_bird.png,image,6,6,animalbw_dog.png,image,1,1,animalbw_horse.png,image,8,8,,,,,,,,
4,animalbw_dog.png,image,4,4,animalbw_cat.png,image,7,7,animalbw_pig.png,image,9,9,animalbw_fish.png,image,3,3,,,,,,,,
4,animalbw_bird.png,image,8,8,animalbw_dog.png,image,9,9,animalbw_horse.png,image,3,3,animalbw_pig.png,image,6,6,,,,,,,,
5,animalbw_pig.png,image,7,7,animalbw_cat.png,image,3,3,animalbw_dog.png,image,4,4,animalbw_bird.png,image,5,5,animalbw_horse.png,image,8,8,,,,
5,animalbw_dog.png,image,1,1,animalbw_horse.png,image,4,4,animalbw_cat.png,image,8,8,animalbw_fish.png,image,2,2,animalbw_bird.png,image,5,5,,,,
5,animalbw_cat.png,image,5,5,animalbw_bird.png,image,3,3,animalbw_horse.png,image,9,9,animalbw_fish.png,image,2,2,animalbw_pig.png,image,1,1,,,,
6,animalbw_horse.png,image,4,4,animalbw_cat.png,image,9,9,animalbw_dog.png,image,2,2,animalbw_pig.png,image,5,5,animalbw_fish.png,image,7,7,animalbw_bird.png,image,3,3
6,animalbw_fish.png,image,7,7,animalbw_bird.png,image,4,4,animalbw_cat.png,image,1,1,animalbw_horse.png,image,9,9,animalbw_pig.png,image,5,5,animalbw_dog.png,image,2,2
6,animalbw_dog.png,image,1,1,animalbw_pig.png,image,8,8,animalbw_bird.png,image,5,5,animalbw_fish.png,image,4,4,animalbw_cat.png,image,2,2,animalbw_horse.png,image,9,9
