stimulusCount,stimulusValue1,stimulusValueType1,correctResponse1,gridPosition1,stimulusValue2,stimulusValueType2,correctResponse2,gridPosition2,stimulusValue3,stimulusValueType3,correctResponse3,gridPosition3,stimulusValue4,stimulusValueType4,correctResponse4,gridPosition4,stimulusValue5,stimulusValueType5,correctResponse5,gridPosition5,stimulusValue6,stimulusValueType6,correctResponse6,gridPosition6
2,digittext_one.png,image,2,2,digittext_six.png,image,5,5,,,,,,,,,,,,,,,,
2,digittext_two.png,image,6,6,digittext_five.png,image,9,9,,,,,,,,,,,,,,,,
2,digittext_three.png,image,7,7,digittext_four.png,image,5,5,,,,,,,,,,,,,,,,
3,digittext_two.png,image,2,2,digittext_six.png,image,5,5,digittext_four.png,image,1,1,,,,,,,,,,,,
3,digittext_five.png,image,7,7,digittext_three.png,image,4,4,digittext_one.png,image,5,5,,,,,,,,,,,,
3,digittext_four.png,image,2,2,digittext_five.png,image,8,8,digittext_two.png,image,6,6,,,,,,,,,,,,
4,digittext_two.png,image,3,3,digittext_one.png,image,6,6,digittext_three.png,image,1,1,digittext_five.png,image,8,8,,,,,,,,
4,digittext_three.png,image,4,4,digittext_two.png,image,7,7,digittext_six.png,image,9,9,digittext_four.png,image,3,3,,,,,,,,
4,digittext_five.png,image,8,8,digittext_six.png,image,9,9,digittext_one.png,image,3,3,digittext_three.png,image,6,6,,,,,,,,
5,digittext_one.png,image,7,7,digittext_two.png,image,3,3,digittext_three.png,image,4,4,digittext_six.png,image,5,5,digittext_five.png,image,8,8,,,,
5,digittext_three.png,image,1,1,digittext_four.png,image,4,4,digittext_two.png,image,8,8,digittext_five.png,image,2,2,digittext_one.png,image,5,5,,,,
5,digittext_two.png,image,5,5,digittext_one.png,image,3,3,digittext_five.png,image,9,9,digittext_four.png,image,2,2,digittext_six.png,image,1,1,,,,
6,digittext_five.png,image,4,4,digittext_two.png,image,9,9,digittext_three.png,image,2,2,digittext_six.png,image,5,5,digittext_four.png,image,7,7,digittext_one.png,image,3,3
6,digittext_four.png,image,7,7,digittext_one.png,image,4,4,digittext_two.png,image,1,1,digittext_five.png,image,9,9,digittext_six.png,image,5,5,digittext_three.png,image,2,2
6,digittext_six.png,image,1,1,digittext_three.png,image,8,8,digittext_one.png,image,5,5,digittext_four.png,image,4,4,digittext_two.png,image,2,2,digittext_five.png,image,9,9
2,digit_1.png,image,2,2,digit_6.png,image,5,5,,,,,,,,,,,,,,,,
2,digit_2.png,image,6,6,digit_5.png,image,9,9,,,,,,,,,,,,,,,,
2,digit_4.png,image,7,7,digit_1.png,image,5,5,,,,,,,,,,,,,,,,
3,digit_6.png,image,2,2,digit_2.png,image,5,5,digit_4.png,image,1,1,,,,,,,,,,,,
3,digit_3.png,image,7,7,digit_5.png,image,4,4,digit_1.png,image,5,5,,,,,,,,,,,,
3,digit_4.png,image,2,2,digit_5.png,image,8,8,digit_2.png,image,6,6,,,,,,,,,,,,
4,digit_2.png,image,3,3,digit_1.png,image,6,6,digit_3.png,image,1,1,digit_5.png,image,8,8,,,,,,,,
4,digit_3.png,image,4,4,digit_2.png,image,7,7,digit_6.png,image,9,9,digit_4.png,image,3,3,,,,,,,,
4,digit_1.png,image,8,8,digit_3.png,image,9,9,digit_5.png,image,3,3,digit_6.png,image,6,6,,,,,,,,
5,digit_6.png,image,7,7,digit_2.png,image,3,3,digit_3.png,image,4,4,digit_1.png,image,5,5,digit_5.png,image,8,8,,,,
5,digit_3.png,image,1,1,digit_5.png,image,4,4,digit_2.png,image,8,8,digit_4.png,image,2,2,digit_1.png,image,5,5,,,,
5,digit_2.png,image,5,5,digit_1.png,image,3,3,digit_5.png,image,9,9,digit_4.png,image,2,2,digit_6.png,image,1,1,,,,
6,digit_5.png,image,4,4,digit_2.png,image,9,9,digit_3.png,image,2,2,digit_6.png,image,5,5,digit_4.png,image,7,7,digit_1.png,image,3,3
6,digit_4.png,image,7,7,digit_1.png,image,4,4,digit_2.png,image,1,1,digit_5.png,image,9,9,digit_6.png,image,5,5,digit_3.png,image,2,2
6,digit_3.png,image,1,1,digit_6.png,image,8,8,digit_1.png,image,5,5,digit_4.png,image,4,4,digit_2.png,image,2,2,digit_5.png,image,9,9
