phase,stimulusValue,stimulusValueType,probeType,correctResponse,keyCode1,keyLabel1,keyLabelType1,response1,keyCode2,keyLabel2,keyLabelType2,response2
0,STUDY,text,,,,,,,,,,
1,picRecognition_10.png,image,,,,,,,,,,
1,picRecognition_22.png,image,,,,,,,,,,
1,picRecognition_18.png,image,,,,,,,,,,
1,picRecognition_01.png,image,,,,,,,,,,
1,picRecognition_14.png,image,,,,,,,,,,
1,picRecognition_19.png,image,,,,,,,,,,
1,picRecognition_30.png,image,,,,,,,,,,
1,picRecognition_05.png,image,,,,,,,,,,
1,picRecognition_03.png,image,,,,,,,,,,
1,picRecognition_07.png,image,,,,,,,,,,
1,picRecognition_20.png,image,,,,,,,,,,
1,picRecognition_12.png,image,,,,,,,,,,
1,picRecognition_28.png,image,,,,,,,,,,
1,picRecognition_06.png,image,,,,,,,,,,
1,picRecognition_09.png,image,,,,,,,,,,
0,RECOGNITION,text,,,,,,,,,,
2,picRecognition_42.png,image,new,new,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_19.png,image,old,old,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_52.png,image,new,new,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_30.png,image,old,old,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_48.png,image,new,new,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_14.png,image,old,old,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_12.png,image,old,old,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_53.png,image,new,new,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_03.png,image,old,old,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_18.png,image,old,old,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_01.png,image,old,old,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_44.png,image,new,new,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_40.png,image,new,new,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_09.png,image,old,old,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_43.png,image,new,new,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_46.png,image,new,new,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_28.png,image,old,old,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_60.png,image,new,new,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_37.png,image,new,new,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_20.png,image,old,old,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_07.png,image,old,old,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_10.png,image,old,old,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_38.png,image,new,new,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_36.png,image,new,new,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_06.png,image,old,old,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_51.png,image,new,new,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_41.png,image,new,new,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_22.png,image,old,old,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_31.png,image,new,new,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
2,picRecognition_05.png,image,old,old,ArrowLeft,en_key_old.png,image,old,ArrowRight,en_key_new.png,image,new
