stimulusValue;stimulusValueType;stimulusValueColor;stimulusType;correctResponse;keyCode
red;text;red;congruent;red;ArrowLeft
green;text;green;congruent;green;ArrowDown
blue;text;blue;congruent;blue;ArrowRight
red;text;green;incongruent;green;ArrowDown
blue;text;green;incongruent;green;ArrowDown
green;text;red;incongruent;red;ArrowLeft
blue;text;red;incongruent;red;ArrowLeft
green;text;blue;incongruent;blue;ArrowRight
red;text;blue;incongruent;blue;ArrowRight
red;circle;red;neutral;red;ArrowLeft
green;circle;green;neutral;green;ArrowDown
blue;circle;blue;neutral;blue;ArrowRight
