stimulusType;stimulusValue;stimulusValueType;correctResponse;keyCode;keyLabel;keyLabelType;response;keyIndex
congruent;aaaeaaa.png;image;vowel;ArrowLeft;Vowel;text;vowel;0
incongruent;eeeseee.png;image;consonant;ArrowRight;Consonant;text;consonant;1
neutral;nnnennn.png;image;vowel;ArrowLeft;Vowel;text;vowel;0
neutral;nnntnnn.png;image;consonant;ArrowRight;Consonant;text;consonant;1
congruent;eeeaeee.png;image;vowel;ArrowLeft;Vowel;text;vowel;0
incongruent;sssesss.png;image;vowel;ArrowLeft;Vowel;text;vowel;0
neutral;nnnannn.png;image;vowel;ArrowLeft;Vowel;text;vowel;0
congruent;ssstsss.png;image;consonant;ArrowRight;Consonant;text;consonant;1
incongruent;tttattt.png;image;vowel;ArrowLeft;Vowel;text;vowel;0
neutral;nnnsnnn.png;image;consonant;ArrowRight;Consonant;text;consonant;1
incongruent;aaataaa.png;image;consonant;ArrowRight;Consonant;text;consonant;1
congruent;tttsttt.png;image;consonant;ArrowRight;Consonant;text;consonant;1
