stimulusType;stimulusValue;stimulusValueType;correctResponse;keyCode;response;keyIndex
neutral;X;text;1;Digit1;1;0
neutral;XXXX;text;4;Digit4;4;3
neutral;X;text;1;Digit1;1;0
incongruent;4;text;1;Digit1;1;0
neutral;X;text;1;Digit1;1;0
incongruent;11;text;2;Digit2;2;1
incongruent;3333;text;4;Digit4;4;3
incongruent;1111;text;4;Digit4;4;3
congruent;333;text;3;Digit3;3;2
incongruent;4;text;1;Digit1;1;0
neutral;XXXX;text;4;Digit4;4;3
congruent;22;text;2;Digit2;2;1
congruent;333;text;3;Digit3;3;2
neutral;XXX;text;3;Digit3;3;2
incongruent;444;text;3;Digit3;3;2
congruent;4444;text;4;Digit4;4;3
incongruent;44;text;2;Digit2;2;1
congruent;4444;text;4;Digit4;4;3
incongruent;111;text;3;Digit3;3;2
congruent;1;text;1;Digit1;1;0
congruent;22;text;2;Digit2;2;1
neutral;XXXX;text;4;Digit4;4;3
congruent;1;text;1;Digit1;1;0
incongruent;44;text;2;Digit2;2;1
congruent;1;text;1;Digit1;1;0
congruent;22;text;2;Digit2;2;1
congruent;1;text;1;Digit1;1;0
congruent;4444;text;4;Digit4;4;3
incongruent;2222;text;4;Digit4;4;3
neutral;XXXX;text;4;Digit4;4;3
neutral;XXX;text;3;Digit3;3;2
incongruent;1111;text;4;Digit4;4;3
congruent;22;text;2;Digit2;2;1
neutral;XXX;text;3;Digit3;3;2
congruent;1;text;1;Digit1;1;0
congruent;4444;text;4;Digit4;4;3
neutral;XXX;text;3;Digit3;3;2
incongruent;222;text;3;Digit3;3;2
congruent;22;text;2;Digit2;2;1
incongruent;2;text;1;Digit1;1;0
incongruent;222;text;3;Digit3;3;2
incongruent;2222;text;4;Digit4;4;3
congruent;1;text;1;Digit1;1;0
incongruent;3;text;1;Digit1;1;0
incongruent;44;text;2;Digit2;2;1
neutral;XXX;text;3;Digit3;3;2
congruent;22;text;2;Digit2;2;1
incongruent;1111;text;4;Digit4;4;3
neutral;XXX;text;3;Digit3;3;2
neutral;X;text;1;Digit1;1;0
congruent;4444;text;4;Digit4;4;3
incongruent;1111;text;4;Digit4;4;3
neutral;XX;text;2;Digit2;2;1
incongruent;33;text;2;Digit2;2;1
neutral;XXXX;text;4;Digit4;4;3
incongruent;33;text;2;Digit2;2;1
incongruent;3333;text;4;Digit4;4;3
congruent;333;text;3;Digit3;3;2
incongruent;11;text;2;Digit2;2;1
congruent;333;text;3;Digit3;3;2
neutral;XXXX;text;4;Digit4;4;3
incongruent;2;text;1;Digit1;1;0
incongruent;11;text;2;Digit2;2;1
congruent;333;text;3;Digit3;3;2
incongruent;2222;text;4;Digit4;4;3
incongruent;111;text;3;Digit3;3;2
incongruent;222;text;3;Digit3;3;2
congruent;4444;text;4;Digit4;4;3
congruent;1;text;1;Digit1;1;0
neutral;XXXX;text;4;Digit4;4;3
neutral;X;text;1;Digit1;1;0
neutral;XX;text;2;Digit2;2;1
incongruent;33;text;2;Digit2;2;1
neutral;XX;text;2;Digit2;2;1
neutral;XXX;text;3;Digit3;3;2
congruent;333;text;3;Digit3;3;2
congruent;4444;text;4;Digit4;4;3
congruent;22;text;2;Digit2;2;1
incongruent;44;text;2;Digit2;2;1
neutral;XX;text;2;Digit2;2;1
incongruent;2222;text;4;Digit4;4;3
neutral;XXXX;text;4;Digit4;4;3
congruent;333;text;3;Digit3;3;2
neutral;XXX;text;3;Digit3;3;2
congruent;4444;text;4;Digit4;4;3
congruent;22;text;2;Digit2;2;1
congruent;333;text;3;Digit3;3;2
neutral;XXX;text;3;Digit3;3;2
incongruent;2;text;1;Digit1;1;0
incongruent;3;text;1;Digit1;1;0
congruent;1;text;1;Digit1;1;0
neutral;XX;text;2;Digit2;2;1
congruent;1;text;1;Digit1;1;0
neutral;XXXX;text;4;Digit4;4;3
neutral;XX;text;2;Digit2;2;1
neutral;X;text;1;Digit1;1;0
congruent;333;text;3;Digit3;3;2
neutral;XXX;text;3;Digit3;3;2
incongruent;3333;text;4;Digit4;4;3
incongruent;33;text;2;Digit2;2;1
congruent;22;text;2;Digit2;2;1
congruent;4444;text;4;Digit4;4;3
incongruent;11;text;2;Digit2;2;1
incongruent;111;text;3;Digit3;3;2
incongruent;222;text;3;Digit3;3;2
neutral;XXX;text;3;Digit3;3;2
congruent;22;text;2;Digit2;2;1
neutral;X;text;1;Digit1;1;0
incongruent;4;text;1;Digit1;1;0
congruent;333;text;3;Digit3;3;2
neutral;XX;text;2;Digit2;2;1
congruent;1;text;1;Digit1;1;0
neutral;X;text;1;Digit1;1;0
neutral;XXXX;text;4;Digit4;4;3
congruent;22;text;2;Digit2;2;1
neutral;XX;text;2;Digit2;2;1
neutral;X;text;1;Digit1;1;0
neutral;XX;text;2;Digit2;2;1
incongruent;4;text;1;Digit1;1;0
incongruent;3333;text;4;Digit4;4;3
neutral;XX;text;2;Digit2;2;1
incongruent;2;text;1;Digit1;1;0
congruent;1;text;1;Digit1;1;0
