stimulusType;stimulusValue;stimulusValueType;cueValue;cueValueType;correctResponse;shiftingType;keyCode1;keyLabel1;keyLabelType1;response1;keyIndex1;keyCode2;keyLabel2;keyLabelType2;response2;keyIndex2
football;k-l-3.png;image;shifting_football.png;image;smaller;single;ArrowLeft;shifting_smaller.png;image;smaller;0;ArrowRight;shifting_greater.png;image;greater;1
football;k-ll-14.png;image;shifting_football.png;image;smaller;single;ArrowLeft;shifting_smaller.png;image;smaller;0;ArrowRight;shifting_greater.png;image;greater;1
football;g-l-3.png;image;shifting_football.png;image;greater;single;ArrowLeft;shifting_smaller.png;image;smaller;0;ArrowRight;shifting_greater.png;image;greater;1
football;k-l-7.png;image;shifting_football.png;image;smaller;single;ArrowLeft;shifting_smaller.png;image;smaller;0;ArrowRight;shifting_greater.png;image;greater;1
football;k-ll-10.png;image;shifting_football.png;image;smaller;single;ArrowLeft;shifting_smaller.png;image;smaller;0;ArrowRight;shifting_greater.png;image;greater;1
football;g-ll-14.png;image;shifting_football.png;image;greater;single;ArrowLeft;shifting_smaller.png;image;smaller;0;ArrowRight;shifting_greater.png;image;greater;1
football;k-ll-8.png;image;shifting_football.png;image;smaller;single;ArrowLeft;shifting_smaller.png;image;smaller;0;ArrowRight;shifting_greater.png;image;greater;1
football;g-ll-7.png;image;shifting_football.png;image;greater;single;ArrowLeft;shifting_smaller.png;image;smaller;0;ArrowRight;shifting_greater.png;image;greater;1
football;k-ll-5.png;image;shifting_football.png;image;smaller;single;ArrowLeft;shifting_smaller.png;image;smaller;0;ArrowRight;shifting_greater.png;image;greater;1
football;k-ll-11.png;image;shifting_football.png;image;smaller;single;ArrowLeft;shifting_smaller.png;image;smaller;0;ArrowRight;shifting_greater.png;image;greater;1
football;k-l-10.png;image;shifting_football.png;image;smaller;single;ArrowLeft;shifting_smaller.png;image;smaller;0;ArrowRight;shifting_greater.png;image;greater;1
