stimulusType;stimulusValue;stimulusValueType;cueValue;cueValueType;correctResponse;shiftingType;keyCode1;keyLabel1;keyLabelType1;response1;keyIndex1;keyCode2;keyLabel2;keyLabelType2;response2;keyIndex2
shape;r_b_10.png;image;shifting_shape.png;image;round;single;ArrowLeft;shifting_round.png;image;round;0;ArrowRight;shifting_angular.png;image;angular;1
shape;e_b_09.png;image;shifting_shape.png;image;angular;single;ArrowLeft;shifting_round.png;image;round;0;ArrowRight;shifting_angular.png;image;angular;1
shape;r_b_11.png;image;shifting_shape.png;image;round;single;ArrowLeft;shifting_round.png;image;round;0;ArrowRight;shifting_angular.png;image;angular;1
shape;r_g_05.png;image;shifting_shape.png;image;round;single;ArrowLeft;shifting_round.png;image;round;0;ArrowRight;shifting_angular.png;image;angular;1
shape;e_b_14.png;image;shifting_shape.png;image;angular;single;ArrowLeft;shifting_round.png;image;round;0;ArrowRight;shifting_angular.png;image;angular;1
shape;e_g_07.png;image;shifting_shape.png;image;angular;single;ArrowLeft;shifting_round.png;image;round;0;ArrowRight;shifting_angular.png;image;angular;1
shape;e_g_12.png;image;shifting_shape.png;image;angular;single;ArrowLeft;shifting_round.png;image;round;0;ArrowRight;shifting_angular.png;image;angular;1
shape;r_b_16.png;image;shifting_shape.png;image;round;single;ArrowLeft;shifting_round.png;image;round;0;ArrowRight;shifting_angular.png;image;angular;1
shape;r_g_02.png;image;shifting_shape.png;image;round;single;ArrowLeft;shifting_round.png;image;round;0;ArrowRight;shifting_angular.png;image;angular;1
shape;e_b_04.png;image;shifting_shape.png;image;angular;single;ArrowLeft;shifting_round.png;image;round;0;ArrowRight;shifting_angular.png;image;angular;1
shape;e_g_06.png;image;shifting_shape.png;image;angular;single;ArrowLeft;shifting_round.png;image;round;0;ArrowRight;shifting_angular.png;image;angular;1
shape;r_g_15.png;image;shifting_shape.png;image;round;single;ArrowLeft;shifting_round.png;image;round;0;ArrowRight;shifting_angular.png;image;angular;1
