stimulusType;stimulusValue;stimulusValueType;cueValue;cueValueType;correctResponse;shiftingType;keyCode1;keyLabel1;keyLabelType1;response1;keyIndex1;keyCode2;keyLabel2;keyLabelType2;response2;keyIndex2
size;3;text;shifting_size.png;image;less;start;ArrowLeft;shifting_less.png;image;less;0;ArrowRight;shifting_greater.png;image;greater;1
parity;4;text;shifting_parity.png;image;even;switch;ArrowLeft;shifting_even.png;image;even;0;ArrowRight;shifting_odd.png;image;odd;1
parity;7;text;shifting_parity.png;image;odd;repetition;ArrowLeft;shifting_even.png;image;even;0;ArrowRight;shifting_odd.png;image;odd;1
size;9;text;shifting_size.png;image;greater;switch;ArrowLeft;shifting_less.png;image;less;0;ArrowRight;shifting_greater.png;image;greater;1
parity;8;text;shifting_parity.png;image;even;switch;ArrowLeft;shifting_even.png;image;even;0;ArrowRight;shifting_odd.png;image;odd;1
parity;1;text;shifting_parity.png;image;odd;repetition;ArrowLeft;shifting_even.png;image;even;0;ArrowRight;shifting_odd.png;image;odd;1
size;7;text;shifting_size.png;image;greater;switch;ArrowLeft;shifting_less.png;image;less;0;ArrowRight;shifting_greater.png;image;greater;1
parity;6;text;shifting_parity.png;image;even;switch;ArrowLeft;shifting_even.png;image;even;0;ArrowRight;shifting_odd.png;image;odd;1
parity;1;text;shifting_parity.png;image;odd;repetition;ArrowLeft;shifting_even.png;image;even;0;ArrowRight;shifting_odd.png;image;odd;1
size;4;text;shifting_size.png;image;less;switch;ArrowLeft;shifting_less.png;image;less;0;ArrowRight;shifting_greater.png;image;greater;1
size;6;text;shifting_size.png;image;greater;repetition;ArrowLeft;shifting_less.png;image;less;0;ArrowRight;shifting_greater.png;image;greater;1
size;2;text;shifting_size.png;image;less;repetition;ArrowLeft;shifting_less.png;image;less;0;ArrowRight;shifting_greater.png;image;greater;1
