trialsno;listlength;phase;type;step;shape;color;nsubst;nrep;item0;item1;item2;item3;item4
1;5;0;encoding;0;0;0;0;0;5;4;6;9;7
1;10;1;updating;1;2;1;1;0;5;4;1;9;7
1;10;1;updating;2;4;2;1;0;5;4;1;9;2
1;10;1;updating;3;2;7;2;0;5;4;7;9;2
1;10;1;updating;4;4;8;2;0;5;4;7;9;8
1;10;1;updating;5;2;3;3;0;5;4;3;9;8
1;10;1;updating;6;3;1;1;0;5;4;3;1;8
1;10;1;updating;7;4;10;3;0;5;4;3;1;10
1;10;1;updating;8;0;9;1;0;9;4;3;1;10
1;10;1;updating;9;4;10;3;1;9;4;3;1;10
1;10;1;updating;10;0;9;1;1;9;4;3;1;10
1;5;2;recall;1;0;9;1;1;9;4;3;1;10
1;5;2;recall;2;1;4;0;0;9;4;3;1;10
1;5;2;recall;3;2;3;3;0;9;4;3;1;10
1;5;2;recall;4;3;1;1;0;9;4;3;1;10
1;5;2;recall;5;4;10;3;1;9;4;3;1;10
2;5;0;encoding;0;0;0;0;0;6;10;8;7;2
2;0;1;updating;0;0;0;0;0;6;10;8;7;2
2;5;2;recall;1;0;6;0;1;6;10;8;7;2
2;5;2;recall;2;1;10;0;0;6;10;8;7;2
2;5;2;recall;3;2;8;0;0;6;10;8;7;2
2;5;2;recall;4;3;7;0;0;6;10;8;7;2
2;5;2;recall;5;4;2;0;1;6;10;8;7;2
3;5;0;encoding;0;0;0;0;0;8;6;4;1;2
3;10;1;updating;1;0;10;1;0;10;6;4;1;2
3;10;1;updating;2;2;3;1;0;10;6;3;1;2
3;10;1;updating;3;0;7;2;0;7;6;3;1;2
3;10;1;updating;4;2;3;1;1;7;6;3;1;2
3;10;1;updating;5;0;4;3;0;4;6;3;1;2
3;10;1;updating;6;4;9;1;0;4;6;3;1;9
3;10;1;updating;7;1;10;1;0;4;10;3;1;9
3;10;1;updating;8;4;8;2;0;4;10;3;1;8
3;10;1;updating;9;0;4;3;1;4;10;3;1;8
3;10;1;updating;10;4;8;2;1;4;10;3;1;8
3;5;2;recall;1;0;4;3;1;4;10;3;1;8
3;5;2;recall;2;1;10;1;0;4;10;3;1;8
3;5;2;recall;3;2;3;1;1;4;10;3;1;8
3;5;2;recall;4;3;1;0;0;4;10;3;1;8
3;5;2;recall;5;4;8;2;1;4;10;3;1;8
4;5;0;encoding;0;0;0;0;0;3;4;7;5;6
4;10;1;updating;1;2;9;1;0;3;4;9;5;6
4;10;1;updating;2;0;8;1;0;8;4;9;5;6
4;10;1;updating;3;1;3;1;0;8;3;9;5;6
4;10;1;updating;4;3;2;1;0;8;3;9;2;6
4;10;1;updating;5;4;1;1;0;8;3;9;2;1
4;10;1;updating;6;0;4;2;0;4;3;9;2;1
4;10;1;updating;7;2;8;2;0;4;3;8;2;1
4;10;1;updating;8;1;5;2;0;4;5;8;2;1
4;10;1;updating;9;2;8;2;1;4;5;8;2;1
4;10;1;updating;10;1;5;2;1;4;5;8;2;1
