trialsno;listlength;phase;type;step;updatedPosition;shownLetter;nSubstitutions;nRepetitions;letter0;letter1;letter2;letter3;letter4
1;5;0;encoding;5;0;NO;0;0;H;D;T;N;J
1;9;1;updating;1;2;K;1;0;H;D;K;N;J
1;9;1;updating;2;3;N;0;1;H;D;K;N;J
1;9;1;updating;3;4;C;1;0;H;D;K;N;C
1;9;1;updating;4;2;P;2;0;H;D;P;N;C
1;9;1;updating;5;4;Q;2;0;H;D;P;N;Q
1;9;1;updating;6;1;D;0;1;H;D;P;N;Q
1;9;1;updating;7;0;R;1;0;R;D;P;N;Q
1;9;1;updating;8;4;Q;2;1;R;D;P;N;Q
1;9;1;updating;9;2;X;3;0;R;D;X;N;Q
1;5;2;recall;1;0;R;1;0;R;D;X;N;Q
1;5;2;recall;2;1;D;0;1;R;D;X;N;Q
1;5;2;recall;3;2;X;3;0;R;D;X;N;Q
1;5;2;recall;4;3;N;0;1;R;D;X;N;Q
1;5;2;recall;5;4;Q;2;1;R;D;X;N;Q
2;5;0;encoding;5;0;NO;0;0;D;N;G;H;B
2;9;1;updating;1;0;J;1;0;J;N;G;H;B
2;9;1;updating;2;4;R;1;0;J;N;G;H;R
2;9;1;updating;3;3;K;1;0;J;N;G;K;R
2;9;1;updating;4;0;W;2;0;W;N;G;K;R
2;9;1;updating;5;4;F;2;0;W;N;G;K;F
2;9;1;updating;6;1;V;1;0;W;V;G;K;F
2;9;1;updating;7;3;L;2;0;W;V;G;L;F
2;9;1;updating;8;4;T;3;0;W;V;G;L;T
2;9;1;updating;9;3;S;3;0;W;V;G;S;T
2;5;2;recall;1;0;W;2;0;W;V;G;S;T
2;5;2;recall;2;1;V;1;0;W;V;G;S;T
2;5;2;recall;3;2;G;0;0;W;V;G;S;T
2;5;2;recall;4;3;S;3;0;W;V;G;S;T
2;5;2;recall;5;4;T;3;0;W;V;G;S;T
3;5;0;encoding;5;0;NO;0;0;H;W;Z;G;N
3;9;1;updating;1;2;M;1;0;H;W;M;G;N
3;9;1;updating;2;0;H;0;1;H;W;M;G;N
3;9;1;updating;3;3;P;1;0;H;W;M;P;N
3;9;1;updating;4;1;R;1;0;H;R;M;P;N
3;9;1;updating;5;2;T;2;0;H;R;T;P;N
3;9;1;updating;6;1;G;2;0;H;G;T;P;N
3;9;1;updating;7;4;C;1;0;H;G;T;P;C
3;9;1;updating;8;1;F;3;0;H;F;T;P;C
3;9;1;updating;9;4;C;1;1;H;F;T;P;C
3;5;2;recall;1;0;H;0;1;H;F;T;P;C
3;5;2;recall;2;1;F;3;0;H;F;T;P;C
3;5;2;recall;3;2;T;2;0;H;F;T;P;C
3;5;2;recall;4;3;P;1;0;H;F;T;P;C
3;5;2;recall;5;4;C;1;1;H;F;T;P;C
4;5;0;encoding;5;0;NO;0;0;T;B;C;H;J
