trialsno;listlength;phase;Type;step;color;digit;nsubst;nrep;item0;item1;item2;item3
1;4;0;encoding;0;0;0;0;0;1;7;5;2
1;0;1;updating;0;0;0;0;0;1;7;5;2
1;4;2;recall;1;0;1;0;0;1;7;5;2
1;4;2;recall;2;1;7;0;0;1;7;5;2
1;4;2;recall;3;2;5;0;0;1;7;5;2
1;4;2;recall;4;3;2;0;0;1;7;5;2
2;4;0;encoding;0;0;0;0;0;3;5;1;9
2;7;1;updating;1;3;4;1;0;3;5;1;4
2;7;1;updating;2;0;2;1;0;2;5;1;4
2;7;1;updating;3;3;7;2;0;2;5;1;7
2;7;1;updating;4;1;5;0;1;2;5;1;7
2;7;1;updating;5;3;3;3;0;2;5;1;3
2;7;1;updating;6;0;8;2;0;8;5;1;3
2;7;1;updating;7;2;6;1;0;8;5;6;3
2;4;2;recall;1;0;8;2;0;8;5;6;3
2;4;2;recall;2;1;5;0;1;8;5;6;3
2;4;2;recall;3;2;6;1;0;8;5;6;3
2;4;2;recall;4;3;3;3;0;8;5;6;3
3;4;0;encoding;0;0;0;0;0;9;6;1;8
3;7;1;updating;1;3;7;1;0;9;6;1;7
3;7;1;updating;2;0;8;1;0;8;6;1;7
3;7;1;updating;3;1;2;1;0;8;2;1;7
3;7;1;updating;4;0;3;2;0;3;2;1;7
3;7;1;updating;5;1;4;2;0;3;4;1;7
3;7;1;updating;6;0;6;3;0;6;4;1;7
3;7;1;updating;7;3;5;2;0;6;4;1;5
3;4;2;recall;1;0;6;3;0;6;4;1;5
3;4;2;recall;2;1;4;2;0;6;4;1;5
3;4;2;recall;3;2;1;0;0;6;4;1;5
3;4;2;recall;4;3;5;2;0;6;4;1;5
4;4;0;encoding;0;0;0;0;0;8;3;9;6
4;7;1;updating;1;2;7;1;0;8;3;7;6
4;7;1;updating;2;0;8;0;1;8;3;7;6
4;7;1;updating;3;3;1;1;0;8;3;7;1
4;7;1;updating;4;1;5;1;0;8;5;7;1
4;7;1;updating;5;2;2;2;0;8;5;2;1
4;7;1;updating;6;3;9;2;0;8;5;2;9
4;7;1;updating;7;1;6;2;0;8;6;2;9
4;4;2;recall;1;0;8;0;1;8;6;2;9
4;4;2;recall;2;1;6;2;0;8;6;2;9
4;4;2;recall;3;2;2;2;0;8;6;2;9
4;4;2;recall;4;3;9;2;0;8;6;2;9
5;4;0;encoding;0;0;0;0;0;3;1;4;6
5;7;1;updating;1;2;5;1;0;3;1;5;6
5;7;1;updating;2;1;9;1;0;3;9;5;6
5;7;1;updating;3;2;8;2;0;3;9;8;6
5;7;1;updating;4;1;2;2;0;3;2;8;6
5;7;1;updating;5;0;1;1;0;1;2;8;6
5;7;1;updating;6;1;7;3;0;1;7;8;6
5;7;1;updating;7;2;3;3;0;1;7;3;6
5;4;2;recall;1;0;1;1;0;1;7;3;6
5;4;2;recall;2;1;7;3;0;1;7;3;6
5;4;2;recall;3;2;3;3;0;1;7;3;6
5;4;2;recall;4;3;6;0;0;1;7;3;6
6;4;0;encoding;0;0;0;0;0;5;8;7;3
6;0;1;updating;0;0;0;0;0;5;8;7;3
6;4;2;recall;1;0;5;0;0;5;8;7;3
6;4;2;recall;2;1;8;0;0;5;8;7;3
6;4;2;recall;3;2;7;0;0;5;8;7;3
6;4;2;recall;4;3;3;0;0;5;8;7;3
7;4;0;encoding;0;0;0;0;0;7;6;2;1
7;7;1;updating;1;2;8;1;0;7;6;8;1
7;7;1;updating;2;3;2;1;0;7;6;8;2
7;7;1;updating;3;2;3;2;0;7;6;3;2
