trialsno;listlength;phase;Type;step;color;digit;nsubst;nrep;item0;item1;item2;item3
1;4;0;encoding;5;0;0;0;0;8;9;2;5
1;4;1;updating;1;0;3;1;0;3;9;2;5
1;4;1;updating;2;3;1;1;0;3;9;2;1
1;4;1;updating;3;2;2;0;1;3;9;2;1
1;4;1;updating;4;1;8;1;0;3;8;2;1
1;4;2;recall;1;0;3;1;0;3;8;2;1
1;4;2;recall;2;1;8;1;0;3;8;2;1
1;4;2;recall;3;2;2;0;1;3;8;2;1
1;4;2;recall;4;3;1;1;0;3;8;2;1
2;4;0;encoding;5;0;0;0;0;2;8;6;7
2;6;1;updating;1;2;4;1;0;2;8;4;7
2;6;1;updating;2;3;1;1;0;2;8;4;1
2;6;1;updating;3;0;9;1;0;9;8;4;1
2;6;1;updating;4;3;3;2;0;9;8;4;3
2;6;1;updating;5;1;8;0;1;9;8;4;3
2;6;1;updating;6;2;6;2;0;9;8;6;3
2;4;2;recall;1;0;9;1;0;9;8;6;3
2;4;2;recall;2;1;8;0;1;9;8;6;3
2;4;2;recall;3;2;6;2;0;9;8;6;3
2;4;2;recall;4;3;3;2;0;9;8;6;3
3;4;0;encoding;5;0;0;0;0;1;6;3;8
3;7;1;updating;1;0;5;1;0;5;6;3;8
3;7;1;updating;2;2;7;1;0;5;6;7;8
3;7;1;updating;3;0;9;2;0;9;6;7;8
3;7;1;updating;4;3;4;1;0;9;6;7;4
3;7;1;updating;5;2;1;2;0;9;6;1;4
3;7;1;updating;6;1;8;1;0;9;8;1;4
3;7;1;updating;7;0;2;3;0;2;8;1;4
3;4;2;recall;1;0;2;3;0;2;8;1;4
3;4;2;recall;2;1;8;1;0;2;8;1;4
3;4;2;recall;3;2;1;2;0;2;8;1;4
3;4;2;recall;4;3;4;1;1;2;8;1;4
