stimulusValue,stimulusValueType,stimulusType,correctResponse,keyCode,keyIndex,response
GIMBA,text,nonword,nonword,ArrowRight,1,nonword
PICHT,text,nonword,nonword,ArrowRight,1,nonword
VALLTO,text,nonword,nonword,ArrowRight,1,nonword
STUHL,text,word,word,ArrowLeft,0,word
DUCHS,text,nonword,nonword,ArrowRight,1,nonword
KAMEL,text,word,word,ArrowLeft,0,word
HEUBE,text,nonword,nonword,ArrowRight,1,nonword
LEUSS,text,nonword,nonword,ArrowRight,1,nonword
AKRIS,text,nonword,nonword,ArrowRight,1,nonword
WUNSCH,text,word,word,ArrowLeft,0,word
KRAUCK,text,nonword,nonword,ArrowRight,1,nonword
NULIT,text,nonword,nonword,ArrowRight,1,nonword
NATUR,text,word,word,ArrowLeft,0,word
PUNSCH,text,word,word,ArrowLeft,0,word
STAPEL,text,word,word,ArrowLeft,0,word
ZWAUSS,text,nonword,nonword,ArrowRight,1,nonword
MANTEL,text,word,word,ArrowLeft,0,word
FIEST,text,nonword,nonword,ArrowRight,1,nonword
BANT,text,nonword,nonword,ArrowRight,1,nonword
KUNST,text,word,word,ArrowLeft,0,word
FLIST,text,nonword,nonword,ArrowRight,1,nonword
ROPER,text,nonword,nonword,ArrowRight,1,nonword
BRAHNST,text,nonword,nonword,ArrowRight,1,nonword
STURM,text,word,word,ArrowLeft,0,word
KNILL,text,nonword,nonword,ArrowRight,1,nonword
GEWINN,text,word,word,ArrowLeft,0,word
OPFALL,text,nonword,nonword,ArrowRight,1,nonword
HISTIB,text,nonword,nonword,ArrowRight,1,nonword
BACKS,text,nonword,nonword,ArrowRight,1,nonword
STRAND,text,word,word,ArrowLeft,0,word
STATUS,text,word,word,ArrowLeft,0,word
OLLTE,text,nonword,nonword,ArrowRight,1,nonword
REUBAR,text,nonword,nonword,ArrowRight,1,nonword
KIRCHE,text,word,word,ArrowLeft,0,word
TRULL,text,nonword,nonword,ArrowRight,1,nonword
MARSCH,text,word,word,ArrowLeft,0,word
ARMEE,text,word,word,ArrowLeft,0,word
