phase,stimulusValue,stimulusValueType,stimulusValueColor,stimulusType,probeType,correctResponse,keyCode1,keyLabel1,keyLabelType1,response1,keyCode2,keyLabel2,keyLabelType2,response2
1,DIAMANT,text,#000,,,,,,,,,,,
1,ANLASS,text,#000,,,,,,,,,,,
1,PRINZIP,text,#000,,,,,,,,,,,
1,GEDANKE,text,#000,,,,,,,,,,,
1,TREUE,text,#000,,,,,,,,,,,
1,SCHLAMM,text,#000,,,,,,,,,,,
1,ZITRONE,text,#000,,,,,,,,,,,
1,NEIGUNG,text,#000,,,,,,,,,,,
1,TENDENZ,text,#000,,,,,,,,,,,
1,KELLER,text,#000,,,,,,,,,,,
1,HUMOR,text,#000,,,,,,,,,,,
1,PFEIFE,text,#000,,,,,,,,,,,
1,IDEAL,text,#000,,,,,,,,,,,
1,SESSEL,text,#000,,,,,,,,,,,
1,KUGEL,text,#000,,,,,,,,,,,
1,NIVEAU,text,#000,,,,,,,,,,,
1,MORAL,text,#000,,,,,,,,,,,
1,UMGANG,text,#000,,,,,,,,,,,
1,PFLICHT,text,#000,,,,,,,,,,,
1,GARTEN,text,#000,,,,,,,,,,,
1,CHANCE,text,#000,,,,,,,,,,,
1,ALKOHOL,text,#000,,,,,,,,,,,
1,STAUB,text,#000,,,,,,,,,,,
1,GEDULD,text,#000,,,,,,,,,,,
1,STEIN,text,#000,,,,,,,,,,,
1,STUHL,text,#000,,,,,,,,,,,
1,KAFFEE,text,#000,,,,,,,,,,,
1,STOLZ,text,#000,,,,,,,,,,,
1,VOGEL,text,#000,,,,,,,,,,,
1,ZIGARRE,text,#000,,,,,,,,,,,
0,de_wordrec_recall.png,image,,,,,,,,,,,,
2,ELEFANT,text,#000,concrete,new,new,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,ALKOHOL,text,#000,concrete,old,old,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,METHODE,text,#000,abstract,new,new,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,BUTTER,text,#000,concrete,new,new,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,LEICHE,text,#000,concrete,new,new,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,MAKEL,text,#000,abstract,new,new,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,TENDENZ,text,#000,abstract,old,old,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,ZIGARRE,text,#000,concrete,old,old,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,STOLZ,text,#000,abstract,old,old,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,DIAMANT,text,#000,concrete,old,old,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,FEUER,text,#000,concrete,new,new,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,THEORIE,text,#000,abstract,new,new,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,KELLER,text,#000,concrete,old,old,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,DAUER,text,#000,abstract,new,new,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,TEUFEL,text,#000,abstract,new,new,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,GARTEN,text,#000,concrete,old,old,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,ZITRONE,text,#000,concrete,old,old,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,PFERD,text,#000,concrete,new,new,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,IDEAL,text,#000,abstract,old,old,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,STAUB,text,#000,concrete,old,old,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,UNSINN,text,#000,abstract,new,new,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,ZUFALL,text,#000,abstract,new,new,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,SCHLAMM,text,#000,concrete,old,old,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,STUHL,text,#000,concrete,old,old,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,DEUTUNG,text,#000,abstract,new,new,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,SESSEL,text,#000,concrete,old,old,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,PRINZIP,text,#000,abstract,old,old,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,UMSTAND,text,#000,abstract,new,new,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,UMGANG,text,#000,abstract,old,old,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,ANLASS,text,#000,abstract,old,old,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,CHANCE,text,#000,abstract,old,old,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,DAMPFER,text,#000,concrete,new,new,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,VOGEL,text,#000,concrete,old,old,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,GEDANKE,text,#000,abstract,old,old,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,FLUSS,text,#000,concrete,new,new,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,STRAND,text,#000,concrete,new,new,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,GEDULD,text,#000,abstract,old,old,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,GNADE,text,#000,abstract,new,new,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,HUMOR,text,#000,abstract,old,old,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
2,SITTE,text,#000,abstract,new,new,ArrowLeft,de_key_old.png,image,old,ArrowRight,de_key_new.png,image,new
