type,run,trial,phase,listType,gridRows,gridCols,stimulusCount,stimulusValue1,stimulusValueType1,stimulusGridPosition1,gridCellClass1,stimulusValue2,stimulusValueType2,stimulusGridPosition2,gridCellClass2,correctResponse,probeType,listSwitch,objectSwitch,keyCode1,keyLabel1,keyLabelType1,response1,keyCode2,keyLabel2,keyLabelType2,response2
2,1,0,0,0,1,1,1,!!!,text,1,warningCell,,,,,,,,,,,,,,,,
2,1,0,1,1,1,2,2,tearempty.png,image,1,greenCell,trianglefilled.png,image,2,greenCell,,,,,,,,,,,,
2,1,0,1,2,1,2,2,hexagonfilled.png,image,1,magentaCell,diamondempty.png,image,2,magentaCell,,,,,,,,,,,,
2,1,1,2,1,1,2,2,,text,1,greenCell,trianglefilled.png,image,2,greenCell,1,1,2,2,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,1,2,2,2,1,2,2,,text,1,magentaCell,diamondempty.png,image,2,magentaCell,1,1,1,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,1,3,2,2,1,2,2,,text,1,magentaCell,squareempty.png,image,2,magentaCell,0,3,0,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,1,4,2,1,1,2,2,tearempty.png,image,1,greenCell,,text,2,greenCell,1,1,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,1,5,2,1,1,2,2,,text,1,greenCell,trianglefilled.png,image,2,greenCell,1,1,0,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,1,6,2,1,1,2,2,hexagonempty.png,image,1,greenCell,,text,2,greenCell,0,3,0,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,1,7,2,1,1,2,2,tearempty.png,image,1,greenCell,,text,2,greenCell,1,1,0,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,1,8,2,1,1,2,2,tearempty.png,image,1,greenCell,,text,2,greenCell,1,1,0,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,1,9,2,1,1,2,2,,text,1,greenCell,trianglefilled.png,image,2,greenCell,1,1,0,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,1,10,2,1,1,2,2,,text,1,greenCell,hexagonfilled.png,image,2,greenCell,0,2,0,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,1,11,2,1,1,2,2,,text,1,greenCell,diamondfilled.png,image,2,greenCell,0,3,0,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,1,12,2,2,1,2,2,,text,1,magentaCell,trianglefilled.png,image,2,magentaCell,0,2,1,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,1,13,2,2,1,2,2,,text,1,magentaCell,hexagonfilled.png,image,2,magentaCell,0,2,0,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,2,0,0,0,1,1,1,!!!,text,1,warningCell,,,,,,,,,,,,,,,,
2,2,0,1,1,1,2,2,triangleempty.png,image,1,greenCell,heartempty.png,image,2,greenCell,,,,,,,,,,,,
2,2,0,1,2,1,2,2,heartfilled.png,image,1,magentaCell,trianglefilled.png,image,2,magentaCell,,,,,,,,,,,,
2,2,1,2,1,1,2,2,heartempty.png,image,1,greenCell,,text,2,greenCell,0,2,2,2,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,2,2,2,1,1,2,2,triangleempty.png,image,1,greenCell,,text,2,greenCell,1,1,0,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,2,3,2,2,1,2,2,,text,1,magentaCell,trianglefilled.png,image,2,magentaCell,1,1,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,2,4,2,2,1,2,2,heartfilled.png,image,1,magentaCell,,text,2,magentaCell,1,1,0,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,2,5,2,2,1,2,2,,text,1,magentaCell,heartempty.png,image,2,magentaCell,0,2,0,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,2,6,2,1,1,2,2,diamondfilled.png,image,1,greenCell,,text,2,greenCell,0,3,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,2,7,2,1,1,2,2,,text,1,greenCell,heartfilled.png,image,2,greenCell,0,2,0,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,2,8,2,1,1,2,2,,text,1,greenCell,squarefilled.png,image,2,greenCell,0,3,0,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,2,9,2,2,1,2,2,,text,1,magentaCell,trianglefilled.png,image,2,magentaCell,1,1,1,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,2,10,2,1,1,2,2,triangleempty.png,image,1,greenCell,,text,2,greenCell,1,1,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,2,11,2,1,1,2,2,starempty.png,image,1,greenCell,,text,2,greenCell,0,3,0,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,2,12,2,1,1,2,2,,text,1,greenCell,heartempty.png,image,2,greenCell,1,1,0,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,2,13,2,1,1,2,2,,text,1,greenCell,moonempty.png,image,2,greenCell,0,3,0,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,3,0,0,0,1,1,1,!!!,text,1,warningCell,,,,,,,,,,,,,,,,
2,3,0,1,1,1,2,2,circleempty.png,image,1,greenCell,moonempty.png,image,2,greenCell,,,,,,,,,,,,
2,3,0,1,2,1,2,2,squareempty.png,image,1,magentaCell,starempty.png,image,2,magentaCell,,,,,,,,,,,,
2,3,1,2,2,1,2,2,squareempty.png,image,1,magentaCell,,text,2,magentaCell,1,1,2,2,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,3,2,2,2,1,2,2,,text,1,magentaCell,starempty.png,image,2,magentaCell,1,1,0,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,3,3,2,2,1,2,2,,text,1,magentaCell,starempty.png,image,2,magentaCell,1,1,0,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,3,4,2,1,1,2,2,,text,1,greenCell,moonfilled.png,image,2,greenCell,0,3,1,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,3,5,2,2,1,2,2,,text,1,magentaCell,circleempty.png,image,2,magentaCell,0,2,1,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,3,6,2,1,1,2,2,hexagonfilled.png,image,1,greenCell,,text,2,greenCell,0,3,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,3,7,2,2,1,2,2,,text,1,magentaCell,starempty.png,image,2,magentaCell,1,1,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,3,8,2,1,1,2,2,,text,1,greenCell,moonfilled.png,image,2,greenCell,0,3,1,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,3,9,2,2,1,2,2,,text,1,magentaCell,starempty.png,image,2,magentaCell,1,1,1,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,3,10,2,1,1,2,2,,text,1,greenCell,starempty.png,image,2,greenCell,0,2,1,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,3,11,2,2,1,2,2,squareempty.png,image,1,magentaCell,,text,2,magentaCell,1,1,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,3,12,2,1,1,2,2,,text,1,greenCell,moonempty.png,image,2,greenCell,1,1,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,3,13,2,2,1,2,2,tearfilled.png,image,1,magentaCell,,text,2,magentaCell,0,3,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,4,0,0,0,1,1,1,!!!,text,1,warningCell,,,,,,,,,,,,,,,,
2,4,0,1,1,1,2,2,circlefilled.png,image,1,greenCell,circleempty.png,image,2,greenCell,,,,,,,,,,,,
2,4,0,1,2,1,2,2,halfsquarefilled.png,image,1,magentaCell,squarefilled.png,image,2,magentaCell,,,,,,,,,,,,
2,4,1,2,1,1,2,2,,text,1,greenCell,moonempty.png,image,2,greenCell,0,3,2,2,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,4,2,2,2,1,2,2,,text,1,magentaCell,squarefilled.png,image,2,magentaCell,1,1,1,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,4,3,2,2,1,2,2,squarefilled.png,image,1,magentaCell,,text,2,magentaCell,0,2,0,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,4,4,2,2,1,2,2,,text,1,magentaCell,squarefilled.png,image,2,magentaCell,1,1,0,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,4,5,2,1,1,2,2,starempty.png,image,1,greenCell,,text,2,greenCell,0,3,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,4,6,2,1,1,2,2,circlefilled.png,image,1,greenCell,,text,2,greenCell,1,1,0,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,4,7,2,2,1,2,2,,text,1,magentaCell,squareempty.png,image,2,magentaCell,0,3,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,4,8,2,1,1,2,2,circlefilled.png,image,1,greenCell,,text,2,greenCell,1,1,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,4,9,2,2,1,2,2,halfsquarefilled.png,image,1,magentaCell,,text,2,magentaCell,1,1,1,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,4,10,2,2,1,2,2,,text,1,magentaCell,halfsquarefilled.png,image,2,magentaCell,0,2,0,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,4,11,2,2,1,2,2,halfsquareempty.png,image,1,magentaCell,,text,2,magentaCell,0,3,0,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,4,12,2,1,1,2,2,,text,1,greenCell,halfsquarefilled.png,image,2,greenCell,0,2,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,4,13,2,2,1,2,2,,text,1,magentaCell,squarefilled.png,image,2,magentaCell,1,1,1,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,5,0,0,0,1,1,1,!!!,text,1,warningCell,,,,,,,,,,,,,,,,
2,5,0,1,1,1,2,2,trianglefilled.png,image,1,greenCell,squareempty.png,image,2,greenCell,,,,,,,,,,,,
2,5,0,1,2,1,2,2,moonfilled.png,image,1,magentaCell,diamondfilled.png,image,2,magentaCell,,,,,,,,,,,,
2,5,1,2,2,1,2,2,diamondfilled.png,image,1,magentaCell,,text,2,magentaCell,0,2,2,2,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,5,2,2,1,1,2,2,,text,1,greenCell,squareempty.png,image,2,greenCell,1,1,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,5,3,2,1,1,2,2,diamondfilled.png,image,1,greenCell,,text,2,greenCell,0,2,0,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,5,4,2,1,1,2,2,trianglefilled.png,image,1,greenCell,,text,2,greenCell,1,1,0,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,5,5,2,2,1,2,2,,text,1,magentaCell,diamondfilled.png,image,2,magentaCell,1,1,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,5,6,2,2,1,2,2,squareempty.png,image,1,magentaCell,,text,2,magentaCell,0,2,0,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,5,7,2,1,1,2,2,trianglefilled.png,image,1,greenCell,,text,2,greenCell,1,1,1,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,5,8,2,2,1,2,2,diamondempty.png,image,1,magentaCell,,text,2,magentaCell,0,3,1,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,5,9,2,1,1,2,2,,text,1,greenCell,halfsquarefilled.png,image,2,greenCell,0,3,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,5,10,2,1,1,2,2,moonfilled.png,image,1,greenCell,,text,2,greenCell,0,2,0,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,5,11,2,1,1,2,2,trianglefilled.png,image,1,greenCell,,text,2,greenCell,1,1,0,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,5,12,2,2,1,2,2,moonfilled.png,image,1,magentaCell,,text,2,magentaCell,1,1,1,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,5,13,2,2,1,2,2,moonfilled.png,image,1,magentaCell,,text,2,magentaCell,1,1,0,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,6,0,0,0,1,1,1,!!!,text,1,warningCell,,,,,,,,,,,,,,,,
2,6,0,1,1,1,2,2,triangleempty.png,image,1,greenCell,squarefilled.png,image,2,greenCell,,,,,,,,,,,,
2,6,0,1,2,1,2,2,squareempty.png,image,1,magentaCell,tearempty.png,image,2,magentaCell,,,,,,,,,,,,
2,6,1,2,2,1,2,2,squareempty.png,image,1,magentaCell,,text,2,magentaCell,1,1,2,2,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,6,2,2,2,1,2,2,,text,1,magentaCell,circleempty.png,image,2,magentaCell,0,3,0,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,6,3,2,1,1,2,2,,text,1,greenCell,squarefilled.png,image,2,greenCell,1,1,1,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,6,4,2,2,1,2,2,squareempty.png,image,1,magentaCell,,text,2,magentaCell,1,1,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,6,5,2,2,1,2,2,squareempty.png,image,1,magentaCell,,text,2,magentaCell,1,1,0,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,6,6,2,2,1,2,2,,text,1,magentaCell,tearempty.png,image,2,magentaCell,1,1,0,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,6,7,2,2,1,2,2,starfilled.png,image,1,magentaCell,,text,2,magentaCell,0,3,0,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,6,8,2,2,1,2,2,tearempty.png,image,1,magentaCell,,text,2,magentaCell,0,2,0,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,6,9,2,2,1,2,2,squareempty.png,image,1,magentaCell,,text,2,magentaCell,1,1,0,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,6,10,2,1,1,2,2,,text,1,greenCell,starempty.png,image,2,greenCell,0,3,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,6,11,2,2,1,2,2,,text,1,magentaCell,hexagonempty.png,image,2,magentaCell,0,3,1,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,6,12,2,2,1,2,2,starfilled.png,image,1,magentaCell,,text,2,magentaCell,0,3,0,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,6,13,2,1,1,2,2,diamondempty.png,image,1,greenCell,,text,2,greenCell,0,3,1,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,7,0,0,0,1,1,1,!!!,text,1,warningCell,,,,,,,,,,,,,,,,
2,7,0,1,1,1,2,2,diamondfilled.png,image,1,greenCell,starfilled.png,image,2,greenCell,,,,,,,,,,,,
2,7,0,1,2,1,2,2,halfsquareempty.png,image,1,magentaCell,heartfilled.png,image,2,magentaCell,,,,,,,,,,,,
2,7,1,2,2,1,2,2,,text,1,magentaCell,heartfilled.png,image,2,magentaCell,1,1,2,2,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,7,2,2,1,1,2,2,,text,1,greenCell,starfilled.png,image,2,greenCell,1,1,1,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,7,3,2,2,1,2,2,diamondfilled.png,image,1,magentaCell,,text,2,magentaCell,0,2,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,7,4,2,1,1,2,2,,text,1,greenCell,starfilled.png,image,2,greenCell,1,1,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,7,5,2,2,1,2,2,,text,1,magentaCell,diamondfilled.png,image,2,magentaCell,0,2,1,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,7,6,2,1,1,2,2,diamondfilled.png,image,1,greenCell,,text,2,greenCell,1,1,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,7,7,2,2,1,2,2,halfsquareempty.png,image,1,magentaCell,,text,2,magentaCell,1,1,1,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,7,8,2,2,1,2,2,,text,1,magentaCell,heartfilled.png,image,2,magentaCell,1,1,0,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,7,9,2,2,1,2,2,,text,1,magentaCell,heartfilled.png,image,2,magentaCell,1,1,0,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,7,10,2,2,1,2,2,halfsquareempty.png,image,1,magentaCell,,text,2,magentaCell,1,1,0,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,7,11,2,1,1,2,2,tearfilled.png,image,1,greenCell,,text,2,greenCell,0,3,1,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,7,12,2,1,1,2,2,,text,1,magentaCell,moonempty.png,image,2,magentaCell,0,3,0,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,7,13,2,2,1,2,2,halfsquareempty.png,image,1,magentaCell,,text,2,magentaCell,1,1,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,8,0,0,0,1,1,1,!!!,text,1,warningCell,,,,,,,,,,,,,,,,
2,8,0,1,1,1,2,2,diamondempty.png,image,1,greenCell,tearfilled.png,image,2,greenCell,,,,,,,,,,,,
2,8,0,1,2,1,2,2,diamondfilled.png,image,1,magentaCell,hexagonempty.png,image,2,magentaCell,,,,,,,,,,,,
2,8,1,2,1,1,2,2,heartempty.png,image,1,greenCell,,text,2,greenCell,0,3,2,2,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,8,2,2,2,1,2,2,,text,1,magentaCell,hexagonempty.png,image,2,magentaCell,1,1,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,8,3,2,2,1,2,2,diamondempty.png,image,1,magentaCell,,text,2,magentaCell,0,2,0,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,8,4,2,2,1,2,2,,text,1,magentaCell,circleempty.png,image,2,magentaCell,0,3,0,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,8,5,2,2,1,2,2,,text,1,magentaCell,hexagonempty.png,image,2,magentaCell,1,1,0,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,8,6,2,2,1,2,2,,text,1,magentaCell,hexagonempty.png,image,2,magentaCell,1,1,0,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,8,7,2,1,1,2,2,diamondempty.png,image,1,greenCell,,text,2,greenCell,1,1,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,8,8,2,2,1,2,2,heartfilled.png,image,1,magentaCell,,text,2,magentaCell,0,3,1,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,8,9,2,2,1,2,2,,text,1,magentaCell,hexagonempty.png,image,2,magentaCell,1,1,0,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,8,10,2,1,1,2,2,hexagonempty.png,image,1,greenCell,,text,2,greenCell,0,2,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,8,11,2,1,1,2,2,,text,1,greenCell,hexagonempty.png,image,2,greenCell,0,2,0,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,8,12,2,1,1,2,2,,text,1,greenCell,starfilled.png,image,2,greenCell,0,3,0,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
