type,run,trial,phase,listType,gridRows,gridCols,stimulusCount,stimulusValue1,stimulusValueType1,stimulusGridPosition1,gridCellClass1,stimulusValue2,stimulusValueType2,stimulusGridPosition2,gridCellClass2,correctResponse,probeType,listSwitch,objectSwitch,keyCode1,keyLabel1,keyLabelType1,response1,keyCode2,keyLabel2,keyLabelType2,response2
1,1,0,0,0,1,1,1,!!!,text,1,warningCell,,,,,,,,,,,,,,,,
1,1,0,1,1,1,2,2,tearfilled.png,image,1,greenCell,starfilled.png,image,2,greenCell,,,,,,,,,,,,
1,1,1,2,1,1,2,2,circlefilled.png,image,1,greenCell,,text,2,greenCell,0,3,2,2,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,1,2,2,1,1,2,2,starfilled.png,image,1,greenCell,,text,2,greenCell,0,2,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,1,3,2,1,1,2,2,tearfilled.png,image,1,greenCell,,text,2,greenCell,1,1,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,1,4,2,1,1,2,2,,text,1,greenCell,starfilled.png,image,2,greenCell,1,1,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,1,5,2,1,1,2,2,,text,1,greenCell,hexagonfilled.png,image,2,greenCell,0,3,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,1,6,2,1,1,2,2,moonfilled.png,image,1,greenCell,,text,2,greenCell,0,3,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,1,7,2,1,1,2,2,starfilled.png,image,1,greenCell,,text,2,greenCell,0,2,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,2,0,0,0,1,1,1,!!!,text,1,warningCell,,,,,,,,,,,,,,,,
1,2,0,1,2,1,2,2,tearempty.png,image,1,magentaCell,trianglefilled.png,image,2,magentaCell,,,,,,,,,,,,
1,2,1,2,2,1,2,2,,text,1,magentaCell,tearempty.png,image,2,magentaCell,0,2,2,2,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,2,2,2,2,1,2,2,tearempty.png,image,1,magentaCell,,text,2,magentaCell,1,1,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,2,3,2,2,1,2,2,tearempty.png,image,1,magentaCell,,text,2,magentaCell,1,1,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,2,4,2,2,1,2,2,heartempty.png,image,1,magentaCell,,text,2,magentaCell,0,3,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,2,5,2,2,1,2,2,,text,1,magentaCell,trianglefilled.png,image,2,magentaCell,1,1,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,2,6,2,2,1,2,2,trianglefilled.png,image,1,magentaCell,,text,2,magentaCell,0,2,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,2,7,2,2,1,2,2,,text,1,magentaCell,trianglefilled.png,image,2,magentaCell,1,1,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
