stimulusValue,stimulusValueType,stimulusType,correctResponse,keyCode,response
04_1_0.jpg,image,absent,absent,Space,present
04_2_0.jpg,image,absent,absent,Space,present
04_3_0.jpg,image,absent,absent,Space,present
04_4_0.jpg,image,absent,absent,Space,present
04_5_0.jpg,image,absent,absent,Space,present
04_6_1.jpg,image,present,present,Space,present
05_1_0.jpg,image,absent,absent,Space,present
05_2_0.jpg,image,absent,absent,Space,present
05_3_0.jpg,image,absent,absent,Space,present
05_4_0.jpg,image,absent,absent,Space,present
05_5_0.jpg,image,absent,absent,Space,present
05_6_1.jpg,image,present,present,Space,present
06_1_0.jpg,image,absent,absent,Space,present
06_2_0.jpg,image,absent,absent,Space,present
06_3_0.jpg,image,absent,absent,Space,present
06_4_0.jpg,image,absent,absent,Space,present
06_5_0.jpg,image,absent,absent,Space,present
06_6_0.jpg,image,absent,absent,Space,present
06_7_0.jpg,image,absent,absent,Space,present
06_8_1.jpg,image,present,present,Space,present
07_1_0.jpg,image,absent,absent,Space,present
07_2_0.jpg,image,absent,absent,Space,present
07_3_0.jpg,image,absent,absent,Space,present
07_4_0.jpg,image,absent,absent,Space,present
07_5_0.jpg,image,absent,absent,Space,present
07_6_1.jpg,image,present,present,Space,present
08_1_0.jpg,image,absent,absent,Space,present
08_2_0.jpg,image,absent,absent,Space,present
08_3_0.jpg,image,absent,absent,Space,present
08_4_0.jpg,image,absent,absent,Space,present
08_5_0.jpg,image,absent,absent,Space,present
08_6_0.jpg,image,absent,absent,Space,present
08_7_0.jpg,image,absent,absent,Space,present
08_8_1.jpg,image,present,present,Space,present
09_1_0.jpg,image,absent,absent,Space,present
09_2_0.jpg,image,absent,absent,Space,present
09_3_0.jpg,image,absent,absent,Space,present
09_4_0.jpg,image,absent,absent,Space,present
09_5_1.jpg,image,present,present,Space,present
10_1_0.jpg,image,absent,absent,Space,present
10_2_0.jpg,image,absent,absent,Space,present
10_3_0.jpg,image,absent,absent,Space,present
10_4_1.jpg,image,present,present,Space,present
11_1_0.jpg,image,absent,absent,Space,present
11_2_0.jpg,image,absent,absent,Space,present
11_3_0.jpg,image,absent,absent,Space,present
11_4_1.jpg,image,present,present,Space,present
12_1_0.jpg,image,absent,absent,Space,present
12_2_0.jpg,image,absent,absent,Space,present
12_3_0.jpg,image,absent,absent,Space,present
12_4_0.jpg,image,absent,absent,Space,present
12_5_1.jpg,image,present,present,Space,present
13_1_0.jpg,image,absent,absent,Space,present
13_2_0.jpg,image,absent,absent,Space,present
13_3_0.jpg,image,absent,absent,Space,present
13_4_1.jpg,image,present,present,Space,present
14_1_0.jpg,image,absent,absent,Space,present
14_2_0.jpg,image,absent,absent,Space,present
14_3_0.jpg,image,absent,absent,Space,present
14_4_0.jpg,image,absent,absent,Space,present
14_5_1.jpg,image,present,present,Space,present
15_1_0.jpg,image,absent,absent,Space,present
15_2_0.jpg,image,absent,absent,Space,present
15_3_0.jpg,image,absent,absent,Space,present
15_4_1.jpg,image,present,present,Space,present
16_1_0.jpg,image,absent,absent,Space,present
16_2_0.jpg,image,absent,absent,Space,present
16_3_0.jpg,image,absent,absent,Space,present
16_4_0.jpg,image,absent,absent,Space,present
16_5_0.jpg,image,absent,absent,Space,present
16_6_1.jpg,image,present,present,Space,present
17_1_0.jpg,image,absent,absent,Space,present
17_2_0.jpg,image,absent,absent,Space,present
17_3_0.jpg,image,absent,absent,Space,present
17_4_1.jpg,image,present,present,Space,present
18_1_0.jpg,image,absent,absent,Space,present
18_2_0.jpg,image,absent,absent,Space,present
18_3_0.jpg,image,absent,absent,Space,present
18_4_0.jpg,image,absent,absent,Space,present
18_5_0.jpg,image,absent,absent,Space,present
18_6_1.jpg,image,present,present,Space,present
19_1_0.jpg,image,absent,absent,Space,present
19_2_0.jpg,image,absent,absent,Space,present
19_3_0.jpg,image,absent,absent,Space,present
19_4_1.jpg,image,present,present,Space,present
