keyCount,stimulusType,stimulusValue,stimulusValueType,cueValue,cueValueType,correctResponse,shiftingType,keyCode1,response1,keyIndex1,keyCode2,response2,keyIndex2
2,digits,2###A,text,cue_digits.png,image,left,start,ArrowLeft,left,0,ArrowRight,right,1
2,letters,3###E,text,cue_letters.png,image,right,switch,ArrowLeft,left,0,ArrowRight,right,1
2,letters,E###2,text,cue_letters.png,image,left,repetition,ArrowLeft,left,0,ArrowRight,right,1
2,letters,3###A,text,cue_letters.png,image,right,repetition,ArrowLeft,left,0,ArrowRight,right,1
2,letters,E###3,text,cue_letters.png,image,left,repetition,ArrowLeft,left,0,ArrowRight,right,1
2,digits,4###A,text,cue_digits.png,image,left,switch,ArrowLeft,left,0,ArrowRight,right,1
2,letters,4###A,text,cue_letters.png,image,right,switch,ArrowLeft,left,0,ArrowRight,right,1
2,digits,E###4,text,cue_digits.png,image,right,switch,ArrowLeft,left,0,ArrowRight,right,1
2,digits,B###3,text,cue_digits.png,image,right,repetition,ArrowLeft,left,0,ArrowRight,right,1
2,letters,A###3,text,cue_letters.png,image,left,switch,ArrowLeft,left,0,ArrowRight,right,1
2,letters,B###4,text,cue_letters.png,image,left,repetition,ArrowLeft,left,0,ArrowRight,right,1
2,letters,2###B,text,cue_letters.png,image,right,repetition,ArrowLeft,left,0,ArrowRight,right,1
2,digits,2###B,text,cue_digits.png,image,left,switch,ArrowLeft,left,0,ArrowRight,right,1
2,letters,3###B,text,cue_letters.png,image,right,switch,ArrowLeft,left,0,ArrowRight,right,1
2,digits,B###2,text,cue_digits.png,image,right,switch,ArrowLeft,left,0,ArrowRight,right,1
2,letters,A###2,text,cue_letters.png,image,left,switch,ArrowLeft,left,0,ArrowRight,right,1
2,digits,A###4,text,cue_digits.png,image,right,switch,ArrowLeft,left,0,ArrowRight,right,1
2,digits,A###3,text,cue_digits.png,image,right,repetition,ArrowLeft,left,0,ArrowRight,right,1
2,digits,E###3,text,cue_digits.png,image,right,repetition,ArrowLeft,left,0,ArrowRight,right,1
2,letters,2###E,text,cue_letters.png,image,right,switch,ArrowLeft,left,0,ArrowRight,right,1
2,letters,B###2,text,cue_letters.png,image,left,repetition,ArrowLeft,left,0,ArrowRight,right,1
2,digits,2###E,text,cue_digits.png,image,left,switch,ArrowLeft,left,0,ArrowRight,right,1
2,digits,4###E,text,cue_digits.png,image,left,repetition,ArrowLeft,left,0,ArrowRight,right,1
2,digits,4###B,text,cue_digits.png,image,left,repetition,ArrowLeft,left,0,ArrowRight,right,1
