keyCount,stimulusType,stimulusValue,stimulusValueType,cueValue,cueValueType,correctResponse,shiftingType,keyCode1,response1,keyIndex1,keyCode2,response2,keyIndex2
2,circles,mapping_02_23_23.png,image,cue_circles.png,image,same,start,ArrowLeft,same,0,ArrowRight,different,1
2,circles,mapping_02_33_14.png,image,cue_circles.png,image,different,repetition,ArrowLeft,same,0,ArrowRight,different,1
2,triangles,mapping_02_19_01.png,image,cue_triangles.png,image,different,switch,ArrowLeft,different,0,ArrowRight,same,1
2,triangles,mapping_02_29_17.png,image,cue_triangles.png,image,different,repetition,ArrowLeft,different,0,ArrowRight,same,1
2,circles,mapping_02_31_31.png,image,cue_circles.png,image,same,switch,ArrowLeft,same,0,ArrowRight,different,1
2,triangles,mapping_02_18_12.png,image,cue_triangles.png,image,different,switch,ArrowLeft,different,0,ArrowRight,same,1
2,triangles,mapping_02_34_27.png,image,cue_triangles.png,image,different,repetition,ArrowLeft,different,0,ArrowRight,same,1
2,triangles,mapping_02_12_12.png,image,cue_triangles.png,image,same,repetition,ArrowLeft,different,0,ArrowRight,same,1
2,circles,mapping_02_05_05.png,image,cue_circles.png,image,same,switch,ArrowLeft,same,0,ArrowRight,different,1
2,circles,mapping_02_16_09.png,image,cue_circles.png,image,different,repetition,ArrowLeft,same,0,ArrowRight,different,1
2,circles,mapping_02_13_13.png,image,cue_circles.png,image,same,repetition,ArrowLeft,same,0,ArrowRight,different,1
2,triangles,mapping_02_06_06.png,image,cue_triangles.png,image,same,switch,ArrowLeft,different,0,ArrowRight,same,1
2,circles,mapping_02_31_30.png,image,cue_circles.png,image,different,switch,ArrowLeft,same,0,ArrowRight,different,1
2,triangles,mapping_02_16_16.png,image,cue_triangles.png,image,same,switch,ArrowLeft,different,0,ArrowRight,same,1
2,triangles,mapping_02_30_30.png,image,cue_triangles.png,image,same,repetition,ArrowLeft,different,0,ArrowRight,same,1
2,triangles,mapping_02_35_35.png,image,cue_triangles.png,image,same,repetition,ArrowLeft,different,0,ArrowRight,same,1
2,circles,mapping_02_24_29.png,image,cue_circles.png,image,different,switch,ArrowLeft,same,0,ArrowRight,different,1
2,triangles,mapping_02_12_10.png,image,cue_triangles.png,image,different,switch,ArrowLeft,different,0,ArrowRight,same,1
2,circles,mapping_02_30_24.png,image,cue_circles.png,image,different,switch,ArrowLeft,same,0,ArrowRight,different,1
2,triangles,mapping_02_20_15.png,image,cue_triangles.png,image,different,switch,ArrowLeft,different,0,ArrowRight,same,1
2,triangles,mapping_02_24_24.png,image,cue_triangles.png,image,same,repetition,ArrowLeft,different,0,ArrowRight,same,1
2,circles,mapping_02_21_21.png,image,cue_circles.png,image,same,switch,ArrowLeft,same,0,ArrowRight,different,1
2,circles,mapping_02_26_26.png,image,cue_circles.png,image,same,repetition,ArrowLeft,same,0,ArrowRight,different,1
2,circles,mapping_02_05_21.png,image,cue_circles.png,image,different,repetition,ArrowLeft,same,0,ArrowRight,different,1
