keyCount,stimulusType,stimulusValue,stimulusValueType,cueValue,cueValueType,correctResponse,shiftingType,keyCode1,response1,keyIndex1,keyCode2,response2,keyIndex2,keyCode3,response3,keyIndex3,keyCode4,response4,keyIndex4,keyCode5,response5,keyIndex5,keyCode6,response6,keyIndex6,keyCode7,response7,keyIndex7,keyCode8,response8,keyIndex8
8,rhombus,response_04_red.png,image,cue_rhombus.png,image,red rhombus,start,Numpad1,red square,0,Numpad7,green square,1,Numpad9,blue square,2,Numpad3,yellow square,3,G,red rhombus,4,Z,green rhombus,5,H,blue rhombus,6,B,yellow rhombus,7
8,square,response_04_red.png,image,cue_square.png,image,red square,switch,Numpad1,red square,0,Numpad7,green square,1,Numpad9,blue square,2,Numpad3,yellow square,3,G,red rhombus,4,Z,green rhombus,5,H,blue rhombus,6,B,yellow rhombus,7
8,square,response_04_green.png,image,cue_square.png,image,green square,repetition,Numpad1,red square,0,Numpad7,green square,1,Numpad9,blue square,2,Numpad3,yellow square,3,G,red rhombus,4,Z,green rhombus,5,H,blue rhombus,6,B,yellow rhombus,7
8,square,response_04_red.png,image,cue_square.png,image,red square,repetition,Numpad1,red square,0,Numpad7,green square,1,Numpad9,blue square,2,Numpad3,yellow square,3,G,red rhombus,4,Z,green rhombus,5,H,blue rhombus,6,B,yellow rhombus,7
8,rhombus,response_04_yellow.png,image,cue_rhombus.png,image,yellow rhombus,switch,Numpad1,red square,0,Numpad7,green square,1,Numpad9,blue square,2,Numpad3,yellow square,3,G,red rhombus,4,Z,green rhombus,5,H,blue rhombus,6,B,yellow rhombus,7
8,rhombus,response_04_green.png,image,cue_rhombus.png,image,green rhombus,repetition,Numpad1,red square,0,Numpad7,green square,1,Numpad9,blue square,2,Numpad3,yellow square,3,G,red rhombus,4,Z,green rhombus,5,H,blue rhombus,6,B,yellow rhombus,7
8,square,response_04_yellow.png,image,cue_square.png,image,yellow square,switch,Numpad1,red square,0,Numpad7,green square,1,Numpad9,blue square,2,Numpad3,yellow square,3,G,red rhombus,4,Z,green rhombus,5,H,blue rhombus,6,B,yellow rhombus,7
8,square,response_04_blue.png,image,cue_square.png,image,blue square,repetition,Numpad1,red square,0,Numpad7,green square,1,Numpad9,blue square,2,Numpad3,yellow square,3,G,red rhombus,4,Z,green rhombus,5,H,blue rhombus,6,B,yellow rhombus,7
8,rhombus,response_04_blue.png,image,cue_rhombus.png,image,blue rhombus,switch,Numpad1,red square,0,Numpad7,green square,1,Numpad9,blue square,2,Numpad3,yellow square,3,G,red rhombus,4,Z,green rhombus,5,H,blue rhombus,6,B,yellow rhombus,7
8,rhombus,response_04_yellow.png,image,cue_rhombus.png,image,yellow rhombus,repetition,Numpad1,red square,0,Numpad7,green square,1,Numpad9,blue square,2,Numpad3,yellow square,3,G,red rhombus,4,Z,green rhombus,5,H,blue rhombus,6,B,yellow rhombus,7
