keyCount,stimulusType,stimulusValue,stimulusValueType,cueValue,cueValueType,correctResponse,shiftingType,keyCode1,response1,keyIndex1,keyCode2,response2,keyIndex2
2,size,1,text,cue_size.png,image,smaller,start,ArrowUp,greater,0,ArrowDown,smaller,1
2,parity,3,text,cue_parity.png,image,odd,switch,ArrowUp,even,0,ArrowDown,odd,1
2,size,2,text,cue_size.png,image,smaller,switch,ArrowUp,greater,0,ArrowDown,smaller,1
2,parity,9,text,cue_parity.png,image,odd,switch,ArrowUp,even,0,ArrowDown,odd,1
2,parity,8,text,cue_parity.png,image,even,repetition,ArrowUp,even,0,ArrowDown,odd,1
2,parity,2,text,cue_parity.png,image,even,repetition,ArrowUp,even,0,ArrowDown,odd,1
2,parity,3,text,cue_parity.png,image,odd,repetition,ArrowUp,even,0,ArrowDown,odd,1
2,size,6,text,cue_size.png,image,greater,switch,ArrowUp,greater,0,ArrowDown,smaller,1
2,parity,7,text,cue_parity.png,image,odd,switch,ArrowUp,even,0,ArrowDown,odd,1
2,parity,4,text,cue_parity.png,image,even,repetition,ArrowUp,even,0,ArrowDown,odd,1
2,size,4,text,cue_size.png,image,smaller,switch,ArrowUp,greater,0,ArrowDown,smaller,1
2,size,2,text,cue_size.png,image,smaller,repetition,ArrowUp,greater,0,ArrowDown,smaller,1
2,size,1,text,cue_size.png,image,smaller,repetition,ArrowUp,greater,0,ArrowDown,smaller,1
2,parity,7,text,cue_parity.png,image,odd,switch,ArrowUp,even,0,ArrowDown,odd,1
2,size,8,text,cue_size.png,image,greater,switch,ArrowUp,greater,0,ArrowDown,smaller,1
2,size,6,text,cue_size.png,image,greater,repetition,ArrowUp,greater,0,ArrowDown,smaller,1
2,parity,1,text,cue_parity.png,image,odd,switch,ArrowUp,even,0,ArrowDown,odd,1
2,size,2,text,cue_size.png,image,smaller,switch,ArrowUp,greater,0,ArrowDown,smaller,1
2,size,8,text,cue_size.png,image,greater,repetition,ArrowUp,greater,0,ArrowDown,smaller,1
