keyCount,stimulusType,stimulusValue,stimulusValueType,cueValue,cueValueType,correctResponse,shiftingType,keyCode1,response1,keyIndex1,keyCode2,response2,keyIndex2
2,letters,DADAD,text,cue_letters.png,image,same,start,ArrowLeft,same,0,ArrowRight,different,1
2,symbols,%+%#%,text,cue_symbols.png,image,different,switch,ArrowLeft,same,0,ArrowRight,different,1
2,symbols,%#%#%,text,cue_symbols.png,image,same,repetition,ArrowLeft,same,0,ArrowRight,different,1
2,letters,DEDED,text,cue_letters.png,image,same,switch,ArrowLeft,same,0,ArrowRight,different,1
2,symbols,%+%+%,text,cue_symbols.png,image,same,switch,ArrowLeft,same,0,ArrowRight,different,1
2,letters,DADAD,text,cue_letters.png,image,same,switch,ArrowLeft,same,0,ArrowRight,different,1
2,letters,DADED,text,cue_letters.png,image,different,repetition,ArrowLeft,same,0,ArrowRight,different,1
2,symbols,%+%#%,text,cue_symbols.png,image,different,switch,ArrowLeft,same,0,ArrowRight,different,1
2,symbols,%#%+%,text,cue_symbols.png,image,different,repetition,ArrowLeft,same,0,ArrowRight,different,1
2,letters,DEDAD,text,cue_letters.png,image,different,switch,ArrowLeft,same,0,ArrowRight,different,1
2,symbols,%#%+%,text,cue_symbols.png,image,different,switch,ArrowLeft,same,0,ArrowRight,different,1
2,symbols,%+%+%,text,cue_symbols.png,image,same,repetition,ArrowLeft,same,0,ArrowRight,different,1
2,symbols,%#%#%,text,cue_symbols.png,image,same,repetition,ArrowLeft,same,0,ArrowRight,different,1
2,letters,DEDED,text,cue_letters.png,image,same,switch,ArrowLeft,same,0,ArrowRight,different,1
2,letters,DADED,text,cue_letters.png,image,different,repetition,ArrowLeft,same,0,ArrowRight,different,1
2,letters,DEDED,text,cue_letters.png,image,same,repetition,ArrowLeft,same,0,ArrowRight,different,1
2,symbols,%#%+%,text,cue_symbols.png,image,different,switch,ArrowLeft,same,0,ArrowRight,different,1
2,letters,DEDAD,text,cue_letters.png,image,different,switch,ArrowLeft,same,0,ArrowRight,different,1
2,symbols,%+%#%,text,cue_symbols.png,image,different,switch,ArrowLeft,same,0,ArrowRight,different,1
2,symbols,%#%#%,text,cue_symbols.png,image,same,repetition,ArrowLeft,same,0,ArrowRight,different,1
2,symbols,%+%+%,text,cue_symbols.png,image,same,repetition,ArrowLeft,same,0,ArrowRight,different,1
2,letters,DADAD,text,cue_letters.png,image,same,switch,ArrowLeft,same,0,ArrowRight,different,1
2,letters,DEDAD,text,cue_letters.png,image,different,repetition,ArrowLeft,same,0,ArrowRight,different,1
2,letters,DADED,text,cue_letters.png,image,different,repetition,ArrowLeft,same,0,ArrowRight,different,1
